ID,Organisation,Country,Latitude,Longitude
662,ULA,USA,37.09024,-95.712891
663,Roscosmos,Kazakhstan,48.019573,66.923684
664,CASC,China,35.86166,104.195397
665,ULA,USA,37.09024,-95.712891
666,Arianespace,France,46.227638,2.213749
667,ISRO,India,20.593684,78.96288
668,Land Launch,Kazakhstan,48.019573,66.923684
669,CASC,China,35.86166,104.195397
670,Northrop,USA,37.09024,-95.712891
671,Sea Launch,Pacific Ocean,,
672,MHI,Japan,36.204824,138.252924
673,Arianespace,France,46.227638,2.213749
674,MHI,Japan,36.204824,138.252924
675,ULA,USA,37.09024,-95.712891
676,Kosmotras,Russia,61.52401,105.318756
677,Arianespace,France,46.227638,2.213749
678,ULA,USA,37.09024,-95.712891
679,Roscosmos,Kazakhstan,48.019573,66.923684
680,ULA,USA,37.09024,-95.712891
681,ISRO,India,20.593684,78.96288
682,NASA,USA,37.09024,-95.712891
683,Northrop,USA,37.09024,-95.712891
684,ISA,Iran,32.427908,53.688046
685,ULA,USA,37.09024,-95.712891
686,Arianespace,France,46.227638,2.213749
687,NASA,USA,37.09024,-95.712891
688,ULA,USA,37.09024,-95.712891
689,Arianespace,France,46.227638,2.213749
690,ISRO,India,20.593684,78.96288
691,ULA,USA,37.09024,-95.712891
692,ULA,USA,37.09024,-95.712891
693,ULA,USA,37.09024,-95.712891
694,Northrop,USA,37.09024,-95.712891
695,NASA,USA,37.09024,-95.712891
696,Arianespace,France,46.227638,2.213749
697,Northrop,USA,37.09024,-95.712891
698,VKS RF,Russia,61.52401,105.318756
699,MHI,Japan,36.204824,138.252924
700,ULA,USA,37.09024,-95.712891
701,Roscosmos,Kazakhstan,48.019573,66.923684
702,Arianespace,France,46.227638,2.213749
703,ISRO,India,20.593684,78.96288
704,SpaceX,USA,37.09024,-95.712891
705,Arianespace,France,46.227638,2.213749
706,ULA,USA,37.09024,-95.712891
707,Northrop,USA,37.09024,-95.712891
708,ULA,USA,37.09024,-95.712891
709,Arianespace,France,46.227638,2.213749
710,VKS RF,Russia,61.52401,105.318756
711,Northrop,USA,37.09024,-95.712891
712,ULA,USA,37.09024,-95.712891
713,VKS RF,Russia,61.52401,105.318756
714,ULA,USA,37.09024,-95.712891
715,Arianespace,France,46.227638,2.213749
716,ISRO,India,20.593684,78.96288
717,Arianespace,France,46.227638,2.213749
718,IAI,Israel,31.046051,34.851612
719,Kosmotras,Kazakhstan,48.019573,66.923684
720,Kosmotras,Russia,61.52401,105.318756
721,KARI,South Korea,35.907757,127.766922
722,SpaceX,USA,37.09024,-95.712891
723,Eurockot,Russia,61.52401,105.318756
724,ULA,USA,37.09024,-95.712891
725,Arianespace,France,46.227638,2.213749
726,NASA,USA,37.09024,-95.712891
727,MHI,Japan,36.204824,138.252924
728,Roscosmos,Kazakhstan,48.019573,66.923684
729,VKS RF,Russia,61.52401,105.318756
730,ULA,USA,37.09024,-95.712891
731,ISRO,India,20.593684,78.96288
732,Kosmotras,Kazakhstan,48.019573,66.923684
733,NASA,USA,37.09024,-95.712891
734,Roscosmos,Kazakhstan,48.019573,66.923684
735,ULA,USA,37.09024,-95.712891
736,ULA,USA,37.09024,-95.712891
737,NASA,USA,37.09024,-95.712891
738,Roscosmos,Kazakhstan,48.019573,66.923684
739,Arianespace,France,46.227638,2.213749
740,ULA,USA,37.09024,-95.712891
741,ULA,USA,37.09024,-95.712891
742,Land Launch,Kazakhstan,48.019573,66.923684
743,MHI,Japan,36.204824,138.252924
744,ULA,USA,37.09024,-95.712891
745,NASA,USA,37.09024,-95.712891
746,Eurockot,Russia,61.52401,105.318756
747,Arianespace,France,46.227638,2.213749
748,NASA,USA,37.09024,-95.712891
749,ULA,USA,37.09024,-95.712891
750,ULA,USA,37.09024,-95.712891
751,Arianespace,France,46.227638,2.213749
752,ULA,USA,37.09024,-95.712891
753,ISRO,India,20.593684,78.96288
754,MHI,Japan,36.204824,138.252924
755,ULA,USA,37.09024,-95.712891
756,NASA,USA,37.09024,-95.712891
757,KARI,South Korea,35.907757,127.766922
758,Arianespace,France,46.227638,2.213749
759,ULA,USA,37.09024,-95.712891
760,Kosmotras,Kazakhstan,48.019573,66.923684
761,VKS RF,Russia,61.52401,105.318756
762,NASA,USA,37.09024,-95.712891
763,SpaceX,USA,37.09024,-95.712891
764,VKS RF,Russia,61.52401,105.318756
765,Arianespace,France,46.227638,2.213749
766,ULA,USA,37.09024,-95.712891
767,Land Launch,Kazakhstan,48.019573,66.923684
768,ULA,USA,37.09024,-95.712891
769,Northrop,USA,37.09024,-95.712891
770,Arianespace,France,46.227638,2.213749
771,NASA,USA,37.09024,-95.712891
772,ULA,USA,37.09024,-95.712891
773,Sea Launch,Pacific Ocean,,
774,ISRO,India,20.593684,78.96288
775,KCST,North Korea,40.339852,127.510093
776,ULA,USA,37.09024,-95.712891
777,ULA,USA,37.09024,-95.712891
778,Eurockot,Russia,61.52401,105.318756
779,NASA,USA,37.09024,-95.712891
780,ULA,USA,37.09024,-95.712891
781,Land Launch,Kazakhstan,48.019573,66.923684
782,Northrop,USA,37.09024,-95.712891
783,Arianespace,France,46.227638,2.213749
784,ULA,USA,37.09024,-95.712891
785,ISA,Iran,32.427908,53.688046
786,VKS RF,Russia,61.52401,105.318756
787,MHI,Japan,36.204824,138.252924
788,ULA,USA,37.09024,-95.712891
789,Arianespace,France,46.227638,2.213749
790,VKS RF,Russia,61.52401,105.318756
791,NASA,USA,37.09024,-95.712891
792,CASC,China,35.86166,104.195397
793,CASC,China,35.86166,104.195397
794,CASC,China,35.86166,104.195397
795,ULA,USA,37.09024,-95.712891
796,CASC,China,35.86166,104.195397
797,ISRO,India,20.593684,78.96288
798,Northrop,USA,37.09024,-95.712891
799,Kosmotras,Russia,61.52401,105.318756
800,SpaceX,USA,37.09024,-95.712891
801,CASC,China,35.86166,104.195397
802,Sea Launch,Pacific Ocean,,
803,ULA,USA,37.09024,-95.712891
804,CASC,China,35.86166,104.195397
805,Kosmotras,Kazakhstan,48.019573,66.923684
806,ISA,Iran,32.427908,53.688046
807,Arianespace,France,46.227638,2.213749
808,SpaceX,USA,37.09024,-95.712891
809,VKS RF,Russia,61.52401,105.318756
810,Sea Launch,Pacific Ocean,,
811,Arianespace,France,46.227638,2.213749
812,ULA,USA,37.09024,-95.712891
813,VKS RF,Russia,61.52401,105.318756
814,Arianespace,France,46.227638,2.213749
815,ULA,USA,37.09024,-95.712891
816,CASC,China,35.86166,104.195397
817,NASA,USA,37.09024,-95.712891
818,CASC,China,35.86166,104.195397
819,VKS RF,Russia,61.52401,105.318756
820,Sea Launch,Pacific Ocean,,
821,Land Launch,Kazakhstan,48.019573,66.923684
822,ISRO,India,20.593684,78.96288
823,CASC,China,35.86166,104.195397
824,Arianespace,France,46.227638,2.213749
825,Northrop,USA,37.09024,-95.712891
826,ULA,USA,37.09024,-95.712891
827,VKS RF,Russia,61.52401,105.318756
828,Sea Launch,Pacific Ocean,,
829,ULA,USA,37.09024,-95.712891
830,ULA,USA,37.09024,-95.712891
831,NASA,USA,37.09024,-95.712891
832,Arianespace,France,46.227638,2.213749
833,MHI,Japan,36.204824,138.252924
834,NASA,USA,37.09024,-95.712891
835,ISRO,India,20.593684,78.96288
836,Sea Launch,Pacific Ocean,,
837,Arianespace,France,46.227638,2.213749
838,ULA,USA,37.09024,-95.712891
839,ULA,USA,37.09024,-95.712891
840,ULA,USA,37.09024,-95.712891
841,Arianespace,France,46.227638,2.213749
842,CASC,China,35.86166,104.195397
843,ULA,USA,37.09024,-95.712891
844,VKS RF,Russia,61.52401,105.318756
845,CASC,China,35.86166,104.195397
846,VKS RF,Russia,61.52401,105.318756
847,NASA,USA,37.09024,-95.712891
848,ULA,USA,37.09024,-95.712891
849,ULA,USA,37.09024,-95.712891
850,Arianespace,France,46.227638,2.213749
851,ULA,USA,37.09024,-95.712891
852,CASC,China,35.86166,104.195397
853,ULA,USA,37.09024,-95.712891
854,MHI,Japan,36.204824,138.252924
855,VKS RF,Russia,61.52401,105.318756
856,ISRO,India,20.593684,78.96288
857,Arianespace,France,46.227638,2.213749
858,NASA,USA,37.09024,-95.712891
859,ULA,USA,37.09024,-95.712891
860,CASC,China,35.86166,104.195397
861,VKS RF,Russia,61.52401,105.318756
862,VKS RF,Kazakhstan,48.019573,66.923684
863,Kosmotras,Russia,61.52401,105.318756
864,ULA,USA,37.09024,-95.712891
865,Kosmotras,Kazakhstan,48.019573,66.923684
866,IAI,Israel,31.046051,34.851612
867,NASA,USA,37.09024,-95.712891
868,ULA,USA,37.09024,-95.712891
869,CASC,China,35.86166,104.195397
870,CASC,China,35.86166,104.195397
871,CASC,China,35.86166,104.195397
872,Arianespace,France,46.227638,2.213749
873,Northrop,USA,37.09024,-95.712891
874,Northrop,USA,37.09024,-95.712891
875,ISRO,India,20.593684,78.96288
876,Kosmotras,Kazakhstan,48.019573,66.923684
877,CASC,China,35.86166,104.195397
878,CASC,China,35.86166,104.195397
879,SpaceX,USA,37.09024,-95.712891
880,Arianespace,France,46.227638,2.213749
881,ULA,USA,37.09024,-95.712891
882,MHI,Japan,36.204824,138.252924
883,ULA,USA,37.09024,-95.712891
884,CASC,China,35.86166,104.195397
885,Sea Launch,Pacific Ocean,,
886,ISRO,India,20.593684,78.96288
887,VKS RF,Russia,61.52401,105.318756
888,MHI,Japan,36.204824,138.252924
889,Northrop,USA,37.09024,-95.712891
890,ULA,USA,37.09024,-95.712891
891,NASA,USA,37.09024,-95.712891
892,Arianespace,France,46.227638,2.213749
893,CASC,China,35.86166,104.195397
894,Boeing,USA,37.09024,-95.712891
895,Boeing,USA,37.09024,-95.712891
896,Sea Launch,Pacific Ocean,,
897,CASC,China,35.86166,104.195397
898,Boeing,USA,37.09024,-95.712891
899,CASC,China,35.86166,104.195397
900,Arianespace,France,46.227638,2.213749
901,Boeing,USA,37.09024,-95.712891
902,ISAS,Japan,36.204824,138.252924
903,CASC,China,35.86166,104.195397
904,MHI,Japan,36.204824,138.252924
905,NASA,USA,37.09024,-95.712891
906,CASC,China,35.86166,104.195397
907,Sea Launch,Pacific Ocean,,
908,Arianespace,France,46.227638,2.213749
909,Eurockot,Russia,61.52401,105.318756
910,Kosmotras,Kazakhstan,48.019573,66.923684
911,VKS RF,Russia,61.52401,105.318756
912,Kosmotras,Russia,61.52401,105.318756
913,ISRO,India,20.593684,78.96288
914,NASA,USA,37.09024,-95.712891
915,Boeing,USA,37.09024,-95.712891
916,VKS RF,Kazakhstan,48.019573,66.923684
917,Boeing,USA,37.09024,-95.712891
918,Sea Launch,Pacific Ocean,,
919,Arianespace,France,46.227638,2.213749
920,SRC,Barents Sea,,
921,Boeing,USA,37.09024,-95.712891
922,Boeing,USA,37.09024,-95.712891
923,CASC,China,35.86166,104.195397
924,MITT,Russia,61.52401,105.318756
925,ILS,USA,37.09024,-95.712891
926,Northrop,USA,37.09024,-95.712891
927,Sea Launch,Pacific Ocean,,
928,Northrop,USA,37.09024,-95.712891
929,SpaceX,USA,37.09024,-95.712891
930,Arianespace,France,46.227638,2.213749
931,ISAS,Japan,36.204824,138.252924
932,MHI,Japan,36.204824,138.252924
933,Sea Launch,Pacific Ocean,,
934,MHI,Japan,36.204824,138.252924
935,ILS,USA,37.09024,-95.712891
936,Arianespace,France,46.227638,2.213749
937,VKS RF,Russia,61.52401,105.318756
938,Arianespace,France,46.227638,2.213749
939,Sea Launch,Pacific Ocean,,
940,VKS RF,Russia,61.52401,105.318756
941,Lockheed,USA,37.09024,-95.712891
942,CASC,China,35.86166,104.195397
943,Arianespace,France,46.227638,2.213749
944,Eurockot,Russia,61.52401,105.318756
945,Boeing,USA,37.09024,-95.712891
946,Northrop,USA,37.09024,-95.712891
947,CASC,China,35.86166,104.195397
948,VKS RF,Russia,61.52401,105.318756
949,Kosmotras,Kazakhstan,48.019573,66.923684
950,ILS,USA,37.09024,-95.712891
951,Arianespace,France,46.227638,2.213749
952,CASC,China,35.86166,104.195397
953,NASA,USA,37.09024,-95.712891
954,ISAS,Japan,36.204824,138.252924
955,CASC,China,35.86166,104.195397
956,Sea Launch,Pacific Ocean,,
957,SRC,Barents Sea,,
958,VKS RF,Russia,61.52401,105.318756
959,Boeing,USA,37.09024,-95.712891
960,ISRO,India,20.593684,78.96288
961,Lockheed,USA,37.09024,-95.712891
962,Sea Launch,Pacific Ocean,,
963,Northrop,USA,37.09024,-95.712891
964,CASC,China,35.86166,104.195397
965,Northrop,USA,37.09024,-95.712891
966,ILS,USA,37.09024,-95.712891
967,Sea Launch,Pacific Ocean,,
968,MHI,Japan,36.204824,138.252924
969,Arianespace,France,46.227638,2.213749
970,Lockheed,USA,37.09024,-95.712891
971,VKS RF,Russia,61.52401,105.318756
972,Boeing,USA,37.09024,-95.712891
973,VKS RF,Russia,61.52401,105.318756
974,Boeing,USA,37.09024,-95.712891
975,Arianespace,France,46.227638,2.213749
976,ILS,USA,37.09024,-95.712891
977,Boeing,USA,37.09024,-95.712891
978,CASC,China,35.86166,104.195397
979,VKS RF,Russia,61.52401,105.318756
980,Boeing,USA,37.09024,-95.712891
981,CASC,China,35.86166,104.195397
982,CASC,China,35.86166,104.195397
983,CASC,China,35.86166,104.195397
984,VKS RF,Russia,61.52401,105.318756
985,ISRO,India,20.593684,78.96288
986,CASC,China,35.86166,104.195397
987,IAI,Israel,31.046051,34.851612
988,Lockheed,USA,37.09024,-95.712891
989,CASC,China,35.86166,104.195397
990,Boeing,USA,37.09024,-95.712891
991,CASC,China,35.86166,104.195397
992,VKS RF,Russia,61.52401,105.318756
993,Arianespace,France,46.227638,2.213749
994,Boeing,USA,37.09024,-95.712891
995,Kosmotras,Kazakhstan,48.019573,66.923684
996,Sea Launch,Pacific Ocean,,
997,Boeing,USA,37.09024,-95.712891
998,VKS RF,Kazakhstan,48.019573,66.923684
999,VKS RF,Kazakhstan,48.019573,66.923684
1000,Northrop,USA,37.09024,-95.712891
1001,Sea Launch,Pacific Ocean,,
1002,Boeing,USA,37.09024,-95.712891
1003,ILS,USA,37.09024,-95.712891
1004,CASC,China,35.86166,104.195397
1005,ILS,USA,37.09024,-95.712891
1006,Boeing,USA,37.09024,-95.712891
1007,ILS,USA,37.09024,-95.712891
1008,Arianespace,France,46.227638,2.213749
1009,VKS RF,Russia,61.52401,105.318756
1010,Lockheed,USA,37.09024,-95.712891
1011,ILS,USA,37.09024,-95.712891
1012,Sea Launch,Pacific Ocean,,
1013,CASC,China,35.86166,104.195397
1014,Boeing,USA,37.09024,-95.712891
1015,Lockheed,USA,37.09024,-95.712891
1016,VKS RF,Kazakhstan,48.019573,66.923684
1017,Lockheed,USA,37.09024,-95.712891
1018,MHI,Japan,36.204824,138.252924
1019,CASC,China,35.86166,104.195397
1020,CASC,China,35.86166,104.195397
1021,Eurockot,Russia,61.52401,105.318756
1022,CASC,China,35.86166,104.195397
1023,Lockheed,USA,37.09024,-95.712891
1024,ISRO,India,20.593684,78.96288
1025,CASC,China,35.86166,104.195397
1026,Sea Launch,Pacific Ocean,,
1027,Arianespace,France,46.227638,2.213749
1028,VKS RF,Russia,61.52401,105.318756
1029,CASIC,China,35.86166,104.195397
1030,Lockheed,USA,37.09024,-95.712891
1031,Boeing,USA,37.09024,-95.712891
1032,AEB,Brazil,-14.235004,-51.92528
1033,Boeing,USA,37.09024,-95.712891
1034,VKS RF,Russia,61.52401,105.318756
1035,Northrop,USA,37.09024,-95.712891
1036,Sea Launch,Pacific Ocean,,
1037,ILS,USA,37.09024,-95.712891
1038,Boeing,USA,37.09024,-95.712891
1039,Eurockot,Russia,61.52401,105.318756
1040,Northrop,USA,37.09024,-95.712891
1041,VKS RF,Russia,61.52401,105.318756
1042,Arianespace,France,46.227638,2.213749
1043,Boeing,USA,37.09024,-95.712891
1044,Sea Launch,Pacific Ocean,,
1045,VKS RF,Russia,61.52401,105.318756
1046,Starsem,Kazakhstan,48.019573,66.923684
1047,CASC,China,35.86166,104.195397
1048,ILS,USA,37.09024,-95.712891
1049,ISAS,Japan,36.204824,138.252924
1050,ISRO,India,20.593684,78.96288
1051,Northrop,USA,37.09024,-95.712891
1052,ILS,USA,37.09024,-95.712891
1053,Arianespace,France,46.227638,2.213749
1054,Lockheed,USA,37.09024,-95.712891
1055,VKS RF,Russia,61.52401,105.318756
1056,Boeing,USA,37.09024,-95.712891
1057,MHI,Japan,36.204824,138.252924
1058,Boeing,USA,37.09024,-95.712891
1059,Arianespace,France,46.227638,2.213749
1060,Boeing,USA,37.09024,-95.712891
1061,Northrop,USA,37.09024,-95.712891
1062,NASA,USA,37.09024,-95.712891
1063,Boeing,USA,37.09024,-95.712891
1064,Lockheed,USA,37.09024,-95.712891
1065,CASC,China,35.86166,104.195397
1066,VKS RF,Russia,61.52401,105.318756
1067,Kosmotras,Kazakhstan,48.019573,66.923684
1068,Arianespace,France,46.227638,2.213749
1069,MHI,Japan,36.204824,138.252924
1070,Arianespace,France,46.227638,2.213749
1071,Lockheed,USA,37.09024,-95.712891
1072,VKS RF,Russia,61.52401,105.318756
1073,NASA,USA,37.09024,-95.712891
1074,Boeing,USA,37.09024,-95.712891
1075,CASC,China,35.86166,104.195397
1076,NASA,USA,37.09024,-95.712891
1077,VKS RF,Russia,61.52401,105.318756
1078,ILS,USA,37.09024,-95.712891
1079,CASIC,China,35.86166,104.195397
1080,ISRO,India,20.593684,78.96288
1081,MHI,Japan,36.204824,138.252924
1082,Arianespace,France,46.227638,2.213749
1083,Arianespace,France,46.227638,2.213749
1084,ILS,USA,37.09024,-95.712891
1085,VKS RF,Russia,61.52401,105.318756
1086,Arianespace,France,46.227638,2.213749
1087,Boeing,USA,37.09024,-95.712891
1088,Arianespace,France,46.227638,2.213749
1089,Lockheed,USA,37.09024,-95.712891
1090,Eurockot,Russia,61.52401,105.318756
1091,Sea Launch,Pacific Ocean,,
1092,NASA,USA,37.09024,-95.712891
1093,Arianespace,France,46.227638,2.213749
1094,IAI,Israel,31.046051,34.851612
1095,VKS RF,Russia,61.52401,105.318756
1096,CASC,China,35.86166,104.195397
1097,Boeing,USA,37.09024,-95.712891
1098,Arianespace,France,46.227638,2.213749
1099,NASA,USA,37.09024,-95.712891
1100,VKS RF,Russia,61.52401,105.318756
1101,Arianespace,France,46.227638,2.213749
1102,CASC,China,35.86166,104.195397
1103,Eurockot,Russia,61.52401,105.318756
1104,Lockheed,USA,37.09024,-95.712891
1105,NASA,USA,37.09024,-95.712891
1106,Arianespace,France,46.227638,2.213749
1107,Arianespace,France,46.227638,2.213749
1108,ILS,USA,37.09024,-95.712891
1109,Boeing,USA,37.09024,-95.712891
1110,Northrop,USA,37.09024,-95.712891
1111,MHI,Japan,36.204824,138.252924
1112,Arianespace,France,46.227638,2.213749
1113,Lockheed,USA,37.09024,-95.712891
1114,VKS RF,Russia,61.52401,105.318756
1115,VKS RF,Kazakhstan,48.019573,66.923684
1116,VKS RF,Kazakhstan,48.019573,66.923684
1117,Boeing,USA,37.09024,-95.712891
1118,NASA,USA,37.09024,-95.712891
1119,Arianespace,France,46.227638,2.213749
1120,VKS RF,Russia,61.52401,105.318756
1121,ISRO,India,20.593684,78.96288
1122,Boeing,USA,37.09024,-95.712891
1123,Lockheed,USA,37.09024,-95.712891
1124,Lockheed,USA,37.09024,-95.712891
1125,Lockheed,USA,37.09024,-95.712891
1126,Arianespace,France,46.227638,2.213749
1127,Northrop,USA,37.09024,-95.712891
1128,Lockheed,USA,37.09024,-95.712891
1129,Arianespace,France,46.227638,2.213749
1130,MHI,Japan,36.204824,138.252924
1131,NASA,USA,37.09024,-95.712891
1132,Boeing,USA,37.09024,-95.712891
1133,Lockheed,USA,37.09024,-95.712891
1134,Lockheed,USA,37.09024,-95.712891
1135,VKS RF,Russia,61.52401,105.318756
1136,Arianespace,France,46.227638,2.213749
1137,NASA,USA,37.09024,-95.712891
1138,Boeing,USA,37.09024,-95.712891
1139,ILS,USA,37.09024,-95.712891
1140,Arianespace,France,46.227638,2.213749
1141,VKS RF,Russia,61.52401,105.318756
1142,Boeing,USA,37.09024,-95.712891
1143,Sea Launch,Pacific Ocean,,
1144,NASA,USA,37.09024,-95.712891
1145,ISRO,India,20.593684,78.96288
1146,Boeing,USA,37.09024,-95.712891
1147,Sea Launch,Pacific Ocean,,
1148,Arianespace,France,46.227638,2.213749
1149,NASA,USA,37.09024,-95.712891
1150,Lockheed,USA,37.09024,-95.712891
1151,MITT,Russia,61.52401,105.318756
1152,NASA,USA,37.09024,-95.712891
1153,Arianespace,France,46.227638,2.213749
1154,Boeing,USA,37.09024,-95.712891
1155,Arianespace,France,46.227638,2.213749
1156,CASC,China,35.86166,104.195397
1157,VKS RF,Russia,61.52401,105.318756
1158,CASC,China,35.86166,104.195397
1159,Arianespace,France,46.227638,2.213749
1160,Lockheed,USA,37.09024,-95.712891
1161,MITT,Russia,61.52401,105.318756
1162,NASA,USA,37.09024,-95.712891
1163,Arianespace,France,46.227638,2.213749
1164,Boeing,USA,37.09024,-95.712891
1165,VKS RF,Russia,61.52401,105.318756
1166,Arianespace,France,46.227638,2.213749
1167,Boeing,USA,37.09024,-95.712891
1168,CASC,China,35.86166,104.195397
1169,Arianespace,France,46.227638,2.213749
1170,Sea Launch,Pacific Ocean,,
1171,Lockheed,USA,37.09024,-95.712891
1172,NASA,USA,37.09024,-95.712891
1173,Northrop,USA,37.09024,-95.712891
1174,Arianespace,France,46.227638,2.213749
1175,Kosmotras,Kazakhstan,48.019573,66.923684
1176,VKS RF,Kazakhstan,48.019573,66.923684
1177,Lockheed,USA,37.09024,-95.712891
1178,Arianespace,France,46.227638,2.213749
1179,NASA,USA,37.09024,-95.712891
1180,Arianespace,France,46.227638,2.213749
1181,Boeing,USA,37.09024,-95.712891
1182,Lockheed,USA,37.09024,-95.712891
1183,Arianespace,France,46.227638,2.213749
1184,Sea Launch,Pacific Ocean,,
1185,Northrop,USA,37.09024,-95.712891
1186,Boeing,USA,37.09024,-95.712891
1187,VKS RF,Russia,61.52401,105.318756
1188,ILS,USA,37.09024,-95.712891
1189,Lockheed,USA,37.09024,-95.712891
1190,VKS RF,Russia,61.52401,105.318756
1191,CASC,China,35.86166,104.195397
1192,Northrop,USA,37.09024,-95.712891
1193,ILS,USA,37.09024,-95.712891
1194,NASA,USA,37.09024,-95.712891
1195,Eurockot,Russia,61.52401,105.318756
1196,Boeing,USA,37.09024,-95.712891
1197,Lockheed,USA,37.09024,-95.712891
1198,Lockheed,USA,37.09024,-95.712891
1199,Arianespace,France,46.227638,2.213749
1200,Boeing,USA,37.09024,-95.712891
1201,Arianespace,France,46.227638,2.213749
1202,Sea Launch,Pacific Ocean,,
1203,Northrop,USA,37.09024,-95.712891
1204,VKS RF,Kazakhstan,48.019573,66.923684
1205,Arianespace,France,46.227638,2.213749
1206,NASA,USA,37.09024,-95.712891
1207,ISAS,Japan,36.204824,138.252924
1208,Boeing,USA,37.09024,-95.712891
1209,ILS,USA,37.09024,-95.712891
1210,Northrop,USA,37.09024,-95.712891
1211,CASC,China,35.86166,104.195397
1212,Arianespace,France,46.227638,2.213749
1213,Lockheed,USA,37.09024,-95.712891
1214,Northrop,USA,37.09024,-95.712891
1215,VKS RF,Russia,61.52401,105.318756
1216,VKS RF,Kazakhstan,48.019573,66.923684
1217,Arianespace,France,46.227638,2.213749
1218,NASA,USA,37.09024,-95.712891
1219,Lockheed,USA,37.09024,-95.712891
1220,Lockheed,USA,37.09024,-95.712891
1221,AEB,Brazil,-14.235004,-51.92528
1222,Arianespace,France,46.227638,2.213749
1223,Northrop,USA,37.09024,-95.712891
1224,Arianespace,France,46.227638,2.213749
1225,Lockheed,USA,37.09024,-95.712891
1226,CASC,China,35.86166,104.195397
1227,MHI,Japan,36.204824,138.252924
1228,Arianespace,France,46.227638,2.213749
1229,Arianespace,France,46.227638,2.213749
1230,CASC,China,35.86166,104.195397
1231,Sea Launch,Pacific Ocean,,
1232,Arianespace,France,46.227638,2.213749
1233,Lockheed,USA,37.09024,-95.712891
1234,ILS,USA,37.09024,-95.712891
1235,Arianespace,France,46.227638,2.213749
1236,VKS RF,Russia,61.52401,105.318756
1237,Boeing,USA,37.09024,-95.712891
1238,Arianespace,France,46.227638,2.213749
1239,Boeing,USA,37.09024,-95.712891
1240,Boeing,USA,37.09024,-95.712891
1241,NASA,USA,37.09024,-95.712891
1242,VKS RF,Kazakhstan,48.019573,66.923684
1243,Boeing,USA,37.09024,-95.712891
1244,VKS RF,Russia,61.52401,105.318756
1245,Boeing,USA,37.09024,-95.712891
1246,Lockheed,USA,37.09024,-95.712891
1247,CASC,China,35.86166,104.195397
1248,Boeing,USA,37.09024,-95.712891
1249,ISRO,India,20.593684,78.96288
1250,NASA,USA,37.09024,-95.712891
1251,Lockheed,USA,37.09024,-95.712891
1252,Northrop,USA,37.09024,-95.712891
1253,CASC,China,35.86166,104.195397
1254,Boeing,USA,37.09024,-95.712891
1255,Lockheed,USA,37.09024,-95.712891
1256,VKS RF,Russia,61.52401,105.318756
1257,Lockheed,USA,37.09024,-95.712891
1258,Kosmotras,Kazakhstan,48.019573,66.923684
1259,Boeing,USA,37.09024,-95.712891
1260,ILS,USA,37.09024,-95.712891
1261,Lockheed,USA,37.09024,-95.712891
1262,Arianespace,France,46.227638,2.213749
1263,Sea Launch,Pacific Ocean,,
1264,Northrop,USA,37.09024,-95.712891
1265,Arianespace,France,46.227638,2.213749
1266,Boeing,USA,37.09024,-95.712891
1267,ILS,USA,37.09024,-95.712891
1268,Boeing,USA,37.09024,-95.712891
1269,Lockheed,USA,37.09024,-95.712891
1270,Boeing,USA,37.09024,-95.712891
1271,VKS RF,Russia,61.52401,105.318756
1272,Arianespace,France,46.227638,2.213749
1273,CASC,China,35.86166,104.195397
1274,Boeing,USA,37.09024,-95.712891
1275,VKS RF,Russia,61.52401,105.318756
1276,Northrop,USA,37.09024,-95.712891
1277,Arianespace,France,46.227638,2.213749
1278,NASA,USA,37.09024,-95.712891
1279,Boeing,USA,37.09024,-95.712891
1280,Boeing,USA,37.09024,-95.712891
1281,NASA,USA,37.09024,-95.712891
1282,Arianespace,France,46.227638,2.213749
1283,Northrop,USA,37.09024,-95.712891
1284,ESA,France,46.227638,2.213749
1285,Lockheed,USA,37.09024,-95.712891
1286,ILS,USA,37.09024,-95.712891
1287,Arianespace,France,46.227638,2.213749
1288,Northrop,USA,37.09024,-95.712891
1289,VKS RF,Russia,61.52401,105.318756
1290,Northrop,USA,37.09024,-95.712891
1291,Arianespace,France,46.227638,2.213749
1292,VKS RF,Kazakhstan,48.019573,66.923684
1293,Boeing,USA,37.09024,-95.712891
1294,KCST,North Korea,40.339852,127.510093
1295,Boeing,USA,37.09024,-95.712891
1296,Arianespace,France,46.227638,2.213749
1297,Boeing,USA,37.09024,-95.712891
1298,CASC,China,35.86166,104.195397
1299,RVSN USSR,Russia,61.52401,105.318756
1300,Lockheed,USA,37.09024,-95.712891
1301,Northrop,USA,37.09024,-95.712891
1302,VKS RF,Kazakhstan,48.019573,66.923684
1303,VKS RF,Kazakhstan,48.019573,66.923684
1304,SRC,Barents Sea,,
1305,ISAS,Japan,36.204824,138.252924
1306,VKS RF,Russia,61.52401,105.318756
1307,ILS,USA,37.09024,-95.712891
1308,CASC,China,35.86166,104.195397
1309,VKS RF,Russia,61.52401,105.318756
1310,Boeing,USA,37.09024,-95.712891
1311,NASA,USA,37.09024,-95.712891
1312,CASC,China,35.86166,104.195397
1313,Boeing,USA,37.09024,-95.712891
1314,Lockheed,USA,37.09024,-95.712891
1315,Lockheed,USA,37.09024,-95.712891
1316,VKS RF,Russia,61.52401,105.318756
1317,CASC,China,35.86166,104.195397
1318,Arianespace,France,46.227638,2.213749
1319,Boeing,USA,37.09024,-95.712891
1320,NASA,USA,37.09024,-95.712891
1321,Northrop,USA,37.09024,-95.712891
