ID,Organisation,Country,Latitude,Longitude
151,Rocket Lab,New Zealand,-40.900557,174.885971
152,OneSpace,China,35.86166,104.195397
153,Arianespace,France,46.227638,2.213749
154,ULA,USA,37.09024,-95.712891
155,Roscosmos,Kazakhstan,48.019573,66.923684
156,CASC,China,35.86166,104.195397
157,Exos,New Mexico,,
158,SpaceX,USA,37.09024,-95.712891
159,Arianespace,France,46.227638,2.213749
160,SpaceX,USA,37.09024,-95.712891
161,VKS RF,Kazakhstan,48.019573,66.923684
162,Arianespace,France,46.227638,2.213749
163,ISA,Iran,32.427908,53.688046
164,ISRO,India,20.593684,78.96288
165,Blue Origin,USA,37.09024,-95.712891
166,CASC,China,35.86166,104.195397
167,ULA,USA,37.09024,-95.712891
168,JAXA,Japan,36.204824,138.252924
169,ISA,Iran,32.427908,53.688046
170,SpaceX,USA,37.09024,-95.712891
171,CASC,China,35.86166,104.195397
172,CASC,China,35.86166,104.195397
173,Roscosmos,Russia,61.52401,105.318756
174,CASC,China,35.86166,104.195397
175,SpaceX,USA,37.09024,-95.712891
176,CASC,China,35.86166,104.195397
177,VKS RF,Kazakhstan,48.019573,66.923684
178,Arianespace,France,46.227638,2.213749
179,ISRO,India,20.593684,78.96288
180,Rocket Lab,New Zealand,-40.900557,174.885971
181,CASC,China,35.86166,104.195397
182,CASC,China,35.86166,104.195397
183,SpaceX,USA,37.09024,-95.712891
184,Arianespace,France,46.227638,2.213749
185,SpaceX,USA,37.09024,-95.712891
186,Roscosmos,Kazakhstan,48.019573,66.923684
187,VKS RF,Russia,61.52401,105.318756
188,ISRO,India,20.593684,78.96288
189,Arianespace,France,46.227638,2.213749
190,CASC,China,35.86166,104.195397
191,CASC,China,35.86166,104.195397
192,Northrop,USA,37.09024,-95.712891
193,Roscosmos,Kazakhstan,48.019573,66.923684
194,SpaceX,USA,37.09024,-95.712891
195,ISRO,India,20.593684,78.96288
196,Rocket Lab,New Zealand,-40.900557,174.885971
197,Arianespace,France,46.227638,2.213749
198,VKS RF,Russia,61.52401,105.318756
199,CASC,China,35.86166,104.195397
200,MHI,Japan,36.204824,138.252924
201,CASC,China,35.86166,104.195397
202,Landspace,China,35.86166,104.195397
203,Roscosmos,Russia,61.52401,105.318756
204,CASC,China,35.86166,104.195397
205,Arianespace,France,46.227638,2.213749
206,ULA,USA,37.09024,-95.712891
207,CASC,China,35.86166,104.195397
208,Roscosmos,Kazakhstan,48.019573,66.923684
209,CASC,China,35.86166,104.195397
210,SpaceX,USA,37.09024,-95.712891
211,ExPace,China,35.86166,104.195397
212,Arianespace,France,46.227638,2.213749
213,MHI,Japan,36.204824,138.252924
214,CASC,China,35.86166,104.195397
215,ISRO,India,20.593684,78.96288
216,ULA,USA,37.09024,-95.712891
217,SpaceX,USA,37.09024,-95.712891
218,CASC,China,35.86166,104.195397
219,Exos,New Mexico,,
220,CASC,China,35.86166,104.195397
221,Arianespace,France,46.227638,2.213749
222,ULA,USA,37.09024,-95.712891
223,SpaceX,USA,37.09024,-95.712891
224,CASC,China,35.86166,104.195397
225,CASC,China,35.86166,104.195397
226,SpaceX,USA,37.09024,-95.712891
227,Arianespace,France,46.227638,2.213749
228,SpaceX,USA,37.09024,-95.712891
229,Blue Origin,USA,37.09024,-95.712891
230,Roscosmos,Kazakhstan,48.019573,66.923684
231,CASC,China,35.86166,104.195397
232,CASC,China,35.86166,104.195397
233,SpaceX,USA,37.09024,-95.712891
234,CASC,China,35.86166,104.195397
235,VKS RF,Russia,61.52401,105.318756
236,MHI,Japan,36.204824,138.252924
237,Roscosmos,Kazakhstan,48.019573,66.923684
238,CASC,China,35.86166,104.195397
239,SpaceX,USA,37.09024,-95.712891
240,CASC,China,35.86166,104.195397
241,SpaceX,USA,37.09024,-95.712891
242,Northrop,USA,37.09024,-95.712891
243,CASC,China,35.86166,104.195397
