ID,Organisation,Country,Latitude,Longitude,Year
132,SpaceX,USA,37.09024,-95.712891,2019
133,CASC,Yellow Sea,,,2019
134,Roscosmos,Kazakhstan,48.019573,66.923684,2019
135,Roscosmos,Russia,61.52401,105.318756,2019
136,SpaceX,USA,37.09024,-95.712891,2019
137,CASC,China,35.86166,104.195397,2019
138,ISRO,India,20.593684,78.96288,2019
139,CASC,China,35.86166,104.195397,2019
140,Rocket Lab,New Zealand,-40.900557,174.885971,2019
141,SpaceX,USA,37.09024,-95.712891,2019
142,Blue Origin,USA,37.09024,-95.712891,2019
143,CASC,China,35.86166,104.195397,2019
144,CASC,China,35.86166,104.195397,2019
145,Northrop,USA,37.09024,-95.712891,2019
146,SpaceX,USA,37.09024,-95.712891,2019
147,Arianespace,France,46.227638,2.213749,2019
148,Roscosmos,Kazakhstan,48.019573,66.923684,2019
149,ISRO,India,20.593684,78.96288,2019
150,CASC,China,35.86166,104.195397,2019
151,Rocket Lab,New Zealand,-40.900557,174.885971,2019
152,OneSpace,China,35.86166,104.195397,2019
153,Arianespace,France,46.227638,2.213749,2019
154,ULA,USA,37.09024,-95.712891,2019
155,Roscosmos,Kazakhstan,48.019573,66.923684,2019
156,CASC,China,35.86166,104.195397,2019
157,Exos,New Mexico,,,2019
158,SpaceX,USA,37.09024,-95.712891,2019
159,Arianespace,France,46.227638,2.213749,2019
160,SpaceX,USA,37.09024,-95.712891,2019
161,VKS RF,Kazakhstan,48.019573,66.923684,2019
162,Arianespace,France,46.227638,2.213749,2019
163,ISA,Iran,32.427908,53.688046,2019
164,ISRO,India,20.593684,78.96288,2019
165,Blue Origin,USA,37.09024,-95.712891,2019
166,CASC,China,35.86166,104.195397,2019
167,ULA,USA,37.09024,-95.712891,2019
168,JAXA,Japan,36.204824,138.252924,2019
169,ISA,Iran,32.427908,53.688046,2019
170,SpaceX,USA,37.09024,-95.712891,2019
171,CASC,China,35.86166,104.195397,2019
172,CASC,China,35.86166,104.195397,2018
173,Roscosmos,Russia,61.52401,105.318756,2018
174,CASC,China,35.86166,104.195397,2018
175,SpaceX,USA,37.09024,-95.712891,2018
176,CASC,China,35.86166,104.195397,2018
177,VKS RF,Kazakhstan,48.019573,66.923684,2018
178,Arianespace,France,46.227638,2.213749,2018
179,ISRO,India,20.593684,78.96288,2018
180,Rocket Lab,New Zealand,-40.900557,174.885971,2018
181,CASC,China,35.86166,104.195397,2018
182,CASC,China,35.86166,104.195397,2018
183,SpaceX,USA,37.09024,-95.712891,2018
184,Arianespace,France,46.227638,2.213749,2018
185,SpaceX,USA,37.09024,-95.712891,2018
186,Roscosmos,Kazakhstan,48.019573,66.923684,2018
187,VKS RF,Russia,61.52401,105.318756,2018
188,ISRO,India,20.593684,78.96288,2018
189,Arianespace,France,46.227638,2.213749,2018
190,CASC,China,35.86166,104.195397,2018
191,CASC,China,35.86166,104.195397,2018
192,Northrop,USA,37.09024,-95.712891,2018
193,Roscosmos,Kazakhstan,48.019573,66.923684,2018
194,SpaceX,USA,37.09024,-95.712891,2018
195,ISRO,India,20.593684,78.96288,2018
196,Rocket Lab,New Zealand,-40.900557,174.885971,2018
197,Arianespace,France,46.227638,2.213749,2018
198,VKS RF,Russia,61.52401,105.318756,2018
199,CASC,China,35.86166,104.195397,2018
200,MHI,Japan,36.204824,138.252924,2018
201,CASC,China,35.86166,104.195397,2018
202,Landspace,China,35.86166,104.195397,2018
203,Roscosmos,Russia,61.52401,105.318756,2018
204,CASC,China,35.86166,104.195397,2018
205,Arianespace,France,46.227638,2.213749,2018
206,ULA,USA,37.09024,-95.712891,2018
207,CASC,China,35.86166,104.195397,2018
208,Roscosmos,Kazakhstan,48.019573,66.923684,2018
209,CASC,China,35.86166,104.195397,2018
210,SpaceX,USA,37.09024,-95.712891,2018
211,ExPace,China,35.86166,104.195397,2018
212,Arianespace,France,46.227638,2.213749,2018
213,MHI,Japan,36.204824,138.252924,2018
214,CASC,China,35.86166,104.195397,2018
215,ISRO,India,20.593684,78.96288,2018
216,ULA,USA,37.09024,-95.712891,2018
217,SpaceX,USA,37.09024,-95.712891,2018
218,CASC,China,35.86166,104.195397,2018
219,Exos,New Mexico,,,2018
220,CASC,China,35.86166,104.195397,2018
221,Arianespace,France,46.227638,2.213749,2018
222,ULA,USA,37.09024,-95.712891,2018
223,SpaceX,USA,37.09024,-95.712891,2018
224,CASC,China,35.86166,104.195397,2018
225,CASC,China,35.86166,104.195397,2018
226,SpaceX,USA,37.09024,-95.712891,2018
227,Arianespace,France,46.227638,2.213749,2018
228,SpaceX,USA,37.09024,-95.712891,2018
229,Blue Origin,USA,37.09024,-95.712891,2018
230,Roscosmos,Kazakhstan,48.019573,66.923684,2018
231,CASC,China,35.86166,104.195397,2018
232,CASC,China,35.86166,104.195397,2018
233,SpaceX,USA,37.09024,-95.712891,2018
234,CASC,China,35.86166,104.195397,2018
235,VKS RF,Russia,61.52401,105.318756,2018
236,MHI,Japan,36.204824,138.252924,2018
237,Roscosmos,Kazakhstan,48.019573,66.923684,2018
238,CASC,China,35.86166,104.195397,2018
239,SpaceX,USA,37.09024,-95.712891,2018
240,CASC,China,35.86166,104.195397,2018
241,SpaceX,USA,37.09024,-95.712891,2018
242,Northrop,USA,37.09024,-95.712891,2018
243,CASC,China,35.86166,104.195397,2018
244,SpaceX,USA,37.09024,-95.712891,2018
245,CASC,China,35.86166,104.195397,2018
246,ULA,USA,37.09024,-95.712891,2018
247,CASC,China,35.86166,104.195397,2018
248,Blue Origin,USA,37.09024,-95.712891,2018
249,CASC,China,35.86166,104.195397,2018
250,Eurockot,Russia,61.52401,105.318756,2018
251,SpaceX,USA,37.09024,-95.712891,2018
252,VKS RF,Kazakhstan,48.019573,66.923684,2018
253,ULA,USA,37.09024,-95.712891,2018
254,ISRO,India,20.593684,78.96288,2018
255,CASC,China,35.86166,104.195397,2018
256,Arianespace,France,46.227638,2.213749,2018
257,SpaceX,USA,37.09024,-95.712891,2018
258,CASC,China,35.86166,104.195397,2018
259,SpaceX,USA,37.09024,-95.712891,2018
260,CASC,China,35.86166,104.195397,2018
261,Roscosmos,Russia,61.52401,105.318756,2018
262,ISRO,India,20.593684,78.96288,2018
263,Roscosmos,Kazakhstan,48.019573,66.923684,2018
264,CASC,China,35.86166,104.195397,2018
265,Arianespace,France,46.227638,2.213749,2018
266,SpaceX,USA,37.09024,-95.712891,2018
267,ULA,USA,37.09024,-95.712891,2018
268,MHI,Japan,36.204824,138.252924,2018
269,SpaceX,USA,37.09024,-95.712891,2018
270,Roscosmos,Kazakhstan,48.019573,66.923684,2018
271,CASC,China,35.86166,104.195397,2018
272,SpaceX,USA,37.09024,-95.712891,2018
273,JAXA,Japan,36.204824,138.252924,2018
274,CASC,China,35.86166,104.195397,2018
275,Roscosmos,Russia,61.52401,105.318756,2018
276,SpaceX,USA,37.09024,-95.712891,2018
277,Arianespace,France,46.227638,2.213749,2018
278,CASC,China,35.86166,104.195397,2018
279,Rocket Lab,New Zealand,-40.900557,174.885971,2018
280,ULA,USA,37.09024,-95.712891,2018
281,CASC,China,35.86166,104.195397,2018
282,JAXA,Japan,36.204824,138.252924,2018
283,CASC,China,35.86166,104.195397,2018
284,ULA,USA,37.09024,-95.712891,2018
285,ISRO,India,20.593684,78.96288,2018
286,CASC,China,35.86166,104.195397,2018
287,CASC,China,35.86166,104.195397,2018
288,SpaceX,USA,37.09024,-95.712891,2018
289,Land Launch,Kazakhstan,48.019573,66.923684,2017
290,CASC,China,35.86166,104.195397,2017
291,CASC,China,35.86166,104.195397,2017
292,SpaceX,USA,37.09024,-95.712891,2017
293,MHI,Japan,36.204824,138.252924,2017
294,Roscosmos,Kazakhstan,48.019573,66.923684,2017
295,Blue Origin,USA,37.09024,-95.712891,2017
296,SpaceX,USA,37.09024,-95.712891,2017
297,Arianespace,France,46.227638,2.213749,2017
298,CASC,China,35.86166,104.195397,2017
299,CASC,China,35.86166,104.195397,2017
300,VKS RF,Russia,61.52401,105.318756,2017
301,Roscosmos,Russia,61.52401,105.318756,2017
302,CASC,China,35.86166,104.195397,2017
303,CASC,China,35.86166,104.195397,2017
304,ULA,USA,37.09024,-95.712891,2017
305,CASC,China,35.86166,104.195397,2017
306,Northrop,USA,37.09024,-95.712891,2017
307,Arianespace,France,46.227638,2.213749,2017
308,CASC,China,35.86166,104.195397,2017
309,Northrop,USA,37.09024,-95.712891,2017
310,SpaceX,USA,37.09024,-95.712891,2017
311,ULA,USA,37.09024,-95.712891,2017
312,Roscosmos,Kazakhstan,48.019573,66.923684,2017
313,Eurockot,Russia,61.52401,105.318756,2017
314,SpaceX,USA,37.09024,-95.712891,2017
315,MHI,Japan,36.204824,138.252924,2017
316,SpaceX,USA,37.09024,-95.712891,2017
317,CASC,China,35.86166,104.195397,2017
318,Arianespace,France,46.227638,2.213749,2017
319,CASC,China,35.86166,104.195397,2017
320,VKS RF,Kazakhstan,48.019573,66.923684,2017
321,ULA,USA,37.09024,-95.712891,2017
322,ILS,Kazakhstan,48.019573,66.923684,2017
323,SpaceX,USA,37.09024,-95.712891,2017
324,ISRO,India,20.593684,78.96288,2017
325,Northrop,USA,37.09024,-95.712891,2017
326,SpaceX,USA,37.09024,-95.712891,2017
327,VKS RF,Russia,61.52401,105.318756,2017
328,MHI,Japan,36.204824,138.252924,2017
329,ULA,USA,37.09024,-95.712891,2017
330,VKS RF,Kazakhstan,48.019573,66.923684,2017
331,SpaceX,USA,37.09024,-95.712891,2017
