ID,Organisation,Country,Latitude,Longitude,Year,Status Mission
1094,IAI,Israel,31.046051,34.851612,2002,Success
1095,VKS RF,Russia,61.52401,105.318756,2002,Success
1096,CASC,China,35.86166,104.195397,2002,Success
1097,Boeing,USA,37.09024,-95.712891,2002,Success
1098,Arianespace,France,46.227638,2.213749,2002,Success
1099,NASA,USA,37.09024,-95.712891,2002,Success
1100,VKS RF,Russia,61.52401,105.318756,2002,Success
1101,Arianespace,France,46.227638,2.213749,2002,Success
1102,CASC,China,35.86166,104.195397,2002,Success
1103,Eurockot,Russia,61.52401,105.318756,2002,Success
1104,Lockheed,USA,37.09024,-95.712891,2002,Success
1105,NASA,USA,37.09024,-95.712891,2002,Success
1106,Arianespace,France,46.227638,2.213749,2002,Success
1107,Arianespace,France,46.227638,2.213749,2002,Success
1108,ILS,USA,37.09024,-95.712891,2002,Success
1109,Boeing,USA,37.09024,-95.712891,2002,Success
1110,Northrop,USA,37.09024,-95.712891,2002,Success
1111,MHI,Japan,36.204824,138.252924,2002,Success
1112,Arianespace,France,46.227638,2.213749,2002,Success
1113,Lockheed,USA,37.09024,-95.712891,2002,Success
1114,VKS RF,Russia,61.52401,105.318756,2001,Success
1115,VKS RF,Kazakhstan,48.019573,66.923684,2001,Success
1116,VKS RF,Kazakhstan,48.019573,66.923684,2001,Success
1117,Boeing,USA,37.09024,-95.712891,2001,Success
1118,NASA,USA,37.09024,-95.712891,2001,Success
1119,Arianespace,France,46.227638,2.213749,2001,Success
1120,VKS RF,Russia,61.52401,105.318756,2001,Success
1121,ISRO,India,20.593684,78.96288,2001,Success
1122,Boeing,USA,37.09024,-95.712891,2001,Success
1123,Lockheed,USA,37.09024,-95.712891,2001,Success
1124,Lockheed,USA,37.09024,-95.712891,2001,Success
1125,Lockheed,USA,37.09024,-95.712891,2001,Success
1126,Arianespace,France,46.227638,2.213749,2001,Success
1127,Northrop,USA,37.09024,-95.712891,2001,Failure
1128,Lockheed,USA,37.09024,-95.712891,2001,Success
1129,Arianespace,France,46.227638,2.213749,2001,Success
1130,MHI,Japan,36.204824,138.252924,2001,Success
1131,NASA,USA,37.09024,-95.712891,2001,Success
1132,Boeing,USA,37.09024,-95.712891,2001,Success
1133,Lockheed,USA,37.09024,-95.712891,2001,Success
1134,Lockheed,USA,37.09024,-95.712891,2001,Success
1135,VKS RF,Russia,61.52401,105.318756,2001,Success
1136,Arianespace,France,46.227638,2.213749,2001,Partial Failure
1137,NASA,USA,37.09024,-95.712891,2001,Success
1138,Boeing,USA,37.09024,-95.712891,2001,Success
1139,ILS,USA,37.09024,-95.712891,2001,Success
1140,Arianespace,France,46.227638,2.213749,2001,Success
1141,VKS RF,Russia,61.52401,105.318756,2001,Success
1142,Boeing,USA,37.09024,-95.712891,2001,Success
1143,Sea Launch,Pacific Ocean,,,2001,Success
1144,NASA,USA,37.09024,-95.712891,2001,Success
1145,ISRO,India,20.593684,78.96288,2001,Partial Failure
1146,Boeing,USA,37.09024,-95.712891,2001,Success
1147,Sea Launch,Pacific Ocean,,,2001,Success
1148,Arianespace,France,46.227638,2.213749,2001,Success
1149,NASA,USA,37.09024,-95.712891,2001,Success
1150,Lockheed,USA,37.09024,-95.712891,2001,Success
1151,MITT,Russia,61.52401,105.318756,2001,Success
1152,NASA,USA,37.09024,-95.712891,2001,Success
1153,Arianespace,France,46.227638,2.213749,2001,Success
1154,Boeing,USA,37.09024,-95.712891,2001,Success
1155,Arianespace,France,46.227638,2.213749,2001,Success
1156,CASC,China,35.86166,104.195397,2001,Success
1157,VKS RF,Russia,61.52401,105.318756,2000,Failure
1158,CASC,China,35.86166,104.195397,2000,Success
1159,Arianespace,France,46.227638,2.213749,2000,Success
1160,Lockheed,USA,37.09024,-95.712891,2000,Success
1161,MITT,Russia,61.52401,105.318756,2000,Success
1162,NASA,USA,37.09024,-95.712891,2000,Success
1163,Arianespace,France,46.227638,2.213749,2000,Success
1164,Boeing,USA,37.09024,-95.712891,2000,Success
1165,VKS RF,Russia,61.52401,105.318756,2000,Failure
1166,Arianespace,France,46.227638,2.213749,2000,Success
1167,Boeing,USA,37.09024,-95.712891,2000,Success
1168,CASC,China,35.86166,104.195397,2000,Success
1169,Arianespace,France,46.227638,2.213749,2000,Success
1170,Sea Launch,Pacific Ocean,,,2000,Success
1171,Lockheed,USA,37.09024,-95.712891,2000,Success
1172,NASA,USA,37.09024,-95.712891,2000,Success
1173,Northrop,USA,37.09024,-95.712891,2000,Success
1174,Arianespace,France,46.227638,2.213749,2000,Success
1175,Kosmotras,Kazakhstan,48.019573,66.923684,2000,Success
1176,VKS RF,Kazakhstan,48.019573,66.923684,2000,Success
1177,Lockheed,USA,37.09024,-95.712891,2000,Success
1178,Arianespace,France,46.227638,2.213749,2000,Success
1179,NASA,USA,37.09024,-95.712891,2000,Success
1180,Arianespace,France,46.227638,2.213749,2000,Success
1181,Boeing,USA,37.09024,-95.712891,2000,Success
1182,Lockheed,USA,37.09024,-95.712891,2000,Success
1183,Arianespace,France,46.227638,2.213749,2000,Success
1184,Sea Launch,Pacific Ocean,,,2000,Success
1185,Northrop,USA,37.09024,-95.712891,2000,Success
1186,Boeing,USA,37.09024,-95.712891,2000,Success
1187,VKS RF,Russia,61.52401,105.318756,2000,Success
1188,ILS,USA,37.09024,-95.712891,2000,Success
1189,Lockheed,USA,37.09024,-95.712891,2000,Success
1190,VKS RF,Russia,61.52401,105.318756,2000,Success
1191,CASC,China,35.86166,104.195397,2000,Success
1192,Northrop,USA,37.09024,-95.712891,2000,Success
1193,ILS,USA,37.09024,-95.712891,2000,Success
1194,NASA,USA,37.09024,-95.712891,2000,Success
1195,Eurockot,Russia,61.52401,105.318756,2000,Success
1196,Boeing,USA,37.09024,-95.712891,2000,Success
1197,Lockheed,USA,37.09024,-95.712891,2000,Success
1198,Lockheed,USA,37.09024,-95.712891,2000,Success
1199,Arianespace,France,46.227638,2.213749,2000,Success
1200,Boeing,USA,37.09024,-95.712891,2000,Success
1201,Arianespace,France,46.227638,2.213749,2000,Success
1202,Sea Launch,Pacific Ocean,,,2000,Failure
1203,Northrop,USA,37.09024,-95.712891,2000,Success
1204,VKS RF,Kazakhstan,48.019573,66.923684,2000,Success
1205,Arianespace,France,46.227638,2.213749,2000,Success
1206,NASA,USA,37.09024,-95.712891,2000,Success
1207,ISAS,Japan,36.204824,138.252924,2000,Failure
1208,Boeing,USA,37.09024,-95.712891,2000,Success
1209,ILS,USA,37.09024,-95.712891,2000,Success
1210,Northrop,USA,37.09024,-95.712891,2000,Success
1211,CASC,China,35.86166,104.195397,2000,Success
1212,Arianespace,France,46.227638,2.213749,2000,Success
1213,Lockheed,USA,37.09024,-95.712891,2000,Success
1214,Northrop,USA,37.09024,-95.712891,1999,Success
1215,VKS RF,Russia,61.52401,105.318756,1999,Success
1216,VKS RF,Kazakhstan,48.019573,66.923684,1999,Success
1217,Arianespace,France,46.227638,2.213749,1999,Success
1218,NASA,USA,37.09024,-95.712891,1999,Success
1219,Lockheed,USA,37.09024,-95.712891,1999,Success
1220,Lockheed,USA,37.09024,-95.712891,1999,Success
1221,AEB,Brazil,-14.235004,-51.92528,1999,Failure
1222,Arianespace,France,46.227638,2.213749,1999,Success
1223,Northrop,USA,37.09024,-95.712891,1999,Success
1224,Arianespace,France,46.227638,2.213749,1999,Success
1225,Lockheed,USA,37.09024,-95.712891,1999,Success
1226,CASC,China,35.86166,104.195397,1999,Success
1227,MHI,Japan,36.204824,138.252924,1999,Failure
1228,Arianespace,France,46.227638,2.213749,1999,Success
1229,Arianespace,France,46.227638,2.213749,1999,Success
1230,CASC,China,35.86166,104.195397,1999,Success
1231,Sea Launch,Pacific Ocean,,,1999,Success
1232,Arianespace,France,46.227638,2.213749,1999,Success
1233,Lockheed,USA,37.09024,-95.712891,1999,Success
1234,ILS,USA,37.09024,-95.712891,1999,Success
1235,Arianespace,France,46.227638,2.213749,1999,Success
1236,VKS RF,Russia,61.52401,105.318756,1999,Success
1237,Boeing,USA,37.09024,-95.712891,1999,Success
1238,Arianespace,France,46.227638,2.213749,1999,Success
1239,Boeing,USA,37.09024,-95.712891,1999,Success
1240,Boeing,USA,37.09024,-95.712891,1999,Success
1241,NASA,USA,37.09024,-95.712891,1999,Success
1242,VKS RF,Kazakhstan,48.019573,66.923684,1999,Success
1243,Boeing,USA,37.09024,-95.712891,1999,Success
1244,VKS RF,Russia,61.52401,105.318756,1999,Success
1245,Boeing,USA,37.09024,-95.712891,1999,Success
1246,Lockheed,USA,37.09024,-95.712891,1999,Success
1247,CASC,China,35.86166,104.195397,1999,Success
1248,Boeing,USA,37.09024,-95.712891,1999,Success
1249,ISRO,India,20.593684,78.96288,1999,Success
1250,NASA,USA,37.09024,-95.712891,1999,Success
1251,Lockheed,USA,37.09024,-95.712891,1999,Success
1252,Northrop,USA,37.09024,-95.712891,1999,Success
1253,CASC,China,35.86166,104.195397,1999,Success
1254,Boeing,USA,37.09024,-95.712891,1999,Failure
1255,Lockheed,USA,37.09024,-95.712891,1999,Failure
1256,VKS RF,Russia,61.52401,105.318756,1999,Success
1257,Lockheed,USA,37.09024,-95.712891,1999,Failure
1258,Kosmotras,Kazakhstan,48.019573,66.923684,1999,Success
1259,Boeing,USA,37.09024,-95.712891,1999,Success
1260,ILS,USA,37.09024,-95.712891,1999,Success
1261,Lockheed,USA,37.09024,-95.712891,1999,Failure
1262,Arianespace,France,46.227638,2.213749,1999,Success
1263,Sea Launch,Pacific Ocean,,,1999,Success
1264,Northrop,USA,37.09024,-95.712891,1999,Success
1265,Arianespace,France,46.227638,2.213749,1999,Success
1266,Boeing,USA,37.09024,-95.712891,1999,Success
1267,ILS,USA,37.09024,-95.712891,1999,Success
1268,Boeing,USA,37.09024,-95.712891,1999,Success
1269,Lockheed,USA,37.09024,-95.712891,1999,Success
1270,Boeing,USA,37.09024,-95.712891,1999,Success
1271,VKS RF,Russia,61.52401,105.318756,1998,Success
1272,Arianespace,France,46.227638,2.213749,1998,Success
1273,CASC,China,35.86166,104.195397,1998,Success
1274,Boeing,USA,37.09024,-95.712891,1998,Success
1275,VKS RF,Russia,61.52401,105.318756,1998,Success
1276,Northrop,USA,37.09024,-95.712891,1998,Success
1277,Arianespace,France,46.227638,2.213749,1998,Success
1278,NASA,USA,37.09024,-95.712891,1998,Success
1279,Boeing,USA,37.09024,-95.712891,1998,Success
1280,Boeing,USA,37.09024,-95.712891,1998,Success
1281,NASA,USA,37.09024,-95.712891,1998,Success
1282,Arianespace,France,46.227638,2.213749,1998,Success
1283,Northrop,USA,37.09024,-95.712891,1998,Success
1284,ESA,France,46.227638,2.213749,1998,Success
1285,Lockheed,USA,37.09024,-95.712891,1998,Success
1286,ILS,USA,37.09024,-95.712891,1998,Success
1287,Arianespace,France,46.227638,2.213749,1998,Success
1288,Northrop,USA,37.09024,-95.712891,1998,Success
1289,VKS RF,Russia,61.52401,105.318756,1998,Success
1290,Northrop,USA,37.09024,-95.712891,1998,Success
1291,Arianespace,France,46.227638,2.213749,1998,Success
1292,VKS RF,Kazakhstan,48.019573,66.923684,1998,Failure
1293,Boeing,USA,37.09024,-95.712891,1998,Success
1294,KCST,North Korea,40.339852,127.510093,1998,Failure
1295,Boeing,USA,37.09024,-95.712891,1998,Failure
1296,Arianespace,France,46.227638,2.213749,1998,Success
1297,Boeing,USA,37.09024,-95.712891,1998,Success
1298,CASC,China,35.86166,104.195397,1998,Success
1299,RVSN USSR,Russia,61.52401,105.318756,1998,Success
1300,Lockheed,USA,37.09024,-95.712891,1998,Failure
1301,Northrop,USA,37.09024,-95.712891,1998,Success
1302,VKS RF,Kazakhstan,48.019573,66.923684,1998,Success
1303,VKS RF,Kazakhstan,48.019573,66.923684,1998,Success
1304,SRC,Barents Sea,,,1998,Success
1305,ISAS,Japan,36.204824,138.252924,1998,Success
1306,VKS RF,Russia,61.52401,105.318756,1998,Success
1307,ILS,USA,37.09024,-95.712891,1998,Success
1308,CASC,China,35.86166,104.195397,1998,Success
1309,VKS RF,Russia,61.52401,105.318756,1998,Partial Failure
1310,Boeing,USA,37.09024,-95.712891,1998,Success
1311,NASA,USA,37.09024,-95.712891,1998,Success
1312,CASC,China,35.86166,104.195397,1998,Success
1313,Boeing,USA,37.09024,-95.712891,1998,Success
1314,Lockheed,USA,37.09024,-95.712891,1998,Success
1315,Lockheed,USA,37.09024,-95.712891,1998,Success
1316,VKS RF,Russia,61.52401,105.318756,1998,Success
1317,CASC,China,35.86166,104.195397,1998,Success
1318,Arianespace,France,46.227638,2.213749,1998,Success
1319,Boeing,USA,37.09024,-95.712891,1998,Success
1320,NASA,USA,37.09024,-95.712891,1998,Success
1321,Northrop,USA,37.09024,-95.712891,1998,Success
1322,Boeing,USA,37.09024,-95.712891,1998,Success
1323,CASC,China,35.86166,104.195397,1998,Success
1324,Arianespace,France,46.227638,2.213749,1998,Success
1325,Lockheed,USA,37.09024,-95.712891,1998,Success
1326,ILS,USA,37.09024,-95.712891,1998,Success
1327,Arianespace,France,46.227638,2.213749,1998,Success
1328,Northrop,USA,37.09024,-95.712891,1998,Success
1329,MHI,Japan,36.204824,138.252924,1998,Partial Failure
1330,Boeing,USA,37.09024,-95.712891,1998,Success
1331,Boeing,USA,37.09024,-95.712891,1998,Success
1332,Northrop,USA,37.09024,-95.712891,1998,Success
1333,Arianespace,France,46.227638,2.213749,1998,Success
1334,Lockheed,USA,37.09024,-95.712891,1998,Success
1335,IAI,Israel,31.046051,34.851612,1998,Failure
1336,NASA,USA,37.09024,-95.712891,1998,Success
1337,Boeing,USA,37.09024,-95.712891,1998,Success
1338,Lockheed,USA,37.09024,-95.712891,1998,Success
1339,ILS,Kazakhstan,48.019573,66.923684,1997,Partial Failure
1340,MITT,Russia,61.52401,105.318756,1997,Success
1341,Northrop,USA,37.09024,-95.712891,1997,Success
1342,Arianespace,France,46.227638,2.213749,1997,Success
1343,Boeing,USA,37.09024,-95.712891,1997,Success
1344,Arianespace,France,46.227638,2.213749,1997,Success
1345,VKS RF,Kazakhstan,48.019573,66.923684,1997,Success
1346,ILS,USA,37.09024,-95.712891,1997,Success
1347,CASC,China,35.86166,104.195397,1997,Success
1348,Arianespace,France,46.227638,2.213749,1997,Success
1349,MHI,Japan,36.204824,138.252924,1997,Success
1350,NASA,USA,37.09024,-95.712891,1997,Success
1351,Boeing,USA,37.09024,-95.712891,1997,Success
1352,Lockheed,USA,37.09024,-95.712891,1997,Success
1353,Boeing,USA,37.09024,-95.712891,1997,Success
1354,AEB,Brazil,-14.235004,-51.92528,1997,Failure
1355,ESA,France,46.227638,2.213749,1997,Partial Failure
1356,Lockheed,USA,37.09024,-95.712891,1997,Success
1357,Lockheed,USA,37.09024,-95.712891,1997,Success
1358,Northrop,USA,37.09024,-95.712891,1997,Success
1359,CASC,China,35.86166,104.195397,1997,Success
1360,Lockheed,USA,37.09024,-95.712891,1997,Success
1361,ILS,USA,37.09024,-95.712891,1997,Success
1362,ISRO,India,20.593684,78.96288,1997,Partial Failure
1363,Boeing,USA,37.09024,-95.712891,1997,Success
1364,NASA,USA,37.09024,-95.712891,1997,Success
1365,VKS RF,Russia,61.52401,105.318756,1997,Success
1366,Arianespace,France,46.227638,2.213749,1997,Success
1367,VKS RF,Russia,61.52401,105.318756,1997,Success
1368,ILS,USA,37.09024,-95.712891,1997,Success
1369,Arianespace,France,46.227638,2.213749,1997,Success
1370,CASC,China,35.86166,104.195397,1997,Success
1371,Northrop,USA,37.09024,-95.712891,1997,Success
1372,Boeing,USA,37.09024,-95.712891,1997,Success
1373,Lockheed,USA,37.09024,-95.712891,1997,Success
1374,Boeing,USA,37.09024,-95.712891,1997,Success
1375,CASC,China,35.86166,104.195397,1997,Success
1376,Arianespace,France,46.227638,2.213749,1997,Success
1377,NASA,USA,37.09024,-95.712891,1997,Success
1378,Northrop,Gran Canaria,,,1997,Success
1379,ILS,USA,37.09024,-95.712891,1997,Success
1380,Boeing,USA,37.09024,-95.712891,1997,Success
1381,Boeing,USA,37.09024,-95.712891,1997,Success
1382,NASA,USA,37.09024,-95.712891,1997,Success
1383,Arianespace,France,46.227638,2.213749,1997,Success
1384,CASC,China,35.86166,104.195397,1997,Success
1385,Arianespace,France,46.227638,2.213749,1997,Success
1386,Boeing,USA,37.09024,-95.712891,1997,Success
1387,VKS RF,Kazakhstan,48.019573,66.923684,1997,Failure
1388,NASA,USA,37.09024,-95.712891,1997,Success
1389,VKS RF,Russia,61.52401,105.318756,1997,Success
1390,CASC,China,35.86166,104.195397,1997,Success
1391,Boeing,USA,37.09024,-95.712891,1997,Success
1392,Lockheed,USA,37.09024,-95.712891,1997,Success
1393,Northrop,Gran Canaria,,,1997,Success
1394,VKS RF,Russia,61.52401,105.318756,1997,Success
1395,Arianespace,France,46.227638,2.213749,1997,Success
1396,NASA,USA,37.09024,-95.712891,1997,Success
1397,Lockheed,USA,37.09024,-95.712891,1997,Success
1398,ILS,USA,37.09024,-95.712891,1997,Success
1399,MITT,Russia,61.52401,105.318756,1997,Success
1400,Arianespace,France,46.227638,2.213749,1997,Success
1401,Lockheed,USA,37.09024,-95.712891,1997,Success
1402,ILS,USA,37.09024,-95.712891,1997,Success
1403,VKS RF,Russia,61.52401,105.318756,1997,Success
1404,ISAS,Japan,36.204824,138.252924,1997,Success
1405,NASA,USA,37.09024,-95.712891,1997,Success
1406,Arianespace,France,46.227638,2.213749,1997,Success
1407,Boeing,USA,37.09024,-95.712891,1997,Failure
1408,NASA,USA,37.09024,-95.712891,1997,Success
1409,Lockheed,USA,37.09024,-95.712891,1996,Success
1410,VKS RF,Russia,61.52401,105.318756,1996,Success
1411,ILS,USA,37.09024,-95.712891,1996,Success
1412,VKS RF,Kazakhstan,48.019573,66.923684,1996,Success
1413,NASA,USA,37.09024,-95.712891,1996,Success
1414,Boeing,USA,37.09024,-95.712891,1996,Success
1415,ILS,USA,37.09024,-95.712891,1996,Success
1416,Arianespace,France,46.227638,2.213749,1996,Success
1417,Boeing,USA,37.09024,-95.712891,1996,Success
1418,Northrop,USA,37.09024,-95.712891,1996,Failure
1419,VKS RF,Russia,61.52401,105.318756,1996,Success
1420,CASC,China,35.86166,104.195397,1996,Success
1421,NASA,USA,37.09024,-95.712891,1996,Success
1422,Boeing,USA,37.09024,-95.712891,1996,Success
1423,Arianespace,France,46.227638,2.213749,1996,Success
1424,ILS,USA,37.09024,-95.712891,1996,Success
1425,VKS RF,Russia,61.52401,105.318756,1996,Success
1426,VKS RF,Kazakhstan,48.019573,66.923684,1996,Success
1427,RVSN USSR,Russia,61.52401,105.318756,1996,Success
1428,Northrop,USA,37.09024,-95.712891,1996,Success
1429,CASC,China,35.86166,104.195397,1996,Partial Failure
1430,MHI,Japan,36.204824,138.252924,1996,Success
1431,VKS RF,Russia,61.52401,105.318756,1996,Success
1432,Arianespace,France,46.227638,2.213749,1996,Success
1433,Lockheed,USA,37.09024,-95.712891,1996,Success
1434,Boeing,USA,37.09024,-95.712891,1996,Success
1435,Arianespace,France,46.227638,2.213749,1996,Success
1436,CASC,China,35.86166,104.195397,1996,Success
1437,Lockheed,USA,37.09024,-95.712891,1996,Success
1438,Northrop,USA,37.09024,-95.712891,1996,Success
1439,NASA,USA,37.09024,-95.712891,1996,Success
1440,Arianespace,France,46.227638,2.213749,1996,Success
1441,ESA,France,46.227638,2.213749,1996,Failure
1442,Boeing,USA,37.09024,-95.712891,1996,Success
1443,NASA,USA,37.09024,-95.712891,1996,Success
1444,Northrop,USA,37.09024,-95.712891,1996,Success
1445,Arianespace,France,46.227638,2.213749,1996,Success
1446,Lockheed,USA,37.09024,-95.712891,1996,Success
1447,Lockheed,USA,37.09024,-95.712891,1996,Success
1448,Lockheed,USA,37.09024,-95.712891,1996,Success
1449,VKS RF,Russia,61.52401,105.318756,1996,Success
1450,Boeing,USA,37.09024,-95.712891,1996,Success
1451,Arianespace,France,46.227638,2.213749,1996,Success
1452,ILS,USA,37.09024,-95.712891,1996,Success
1453,Boeing,USA,37.09024,-95.712891,1996,Success
1454,NASA,USA,37.09024,-95.712891,1996,Success
1455,ISRO,India,20.593684,78.96288,1996,Success
1456,Arianespace,France,46.227638,2.213749,1996,Success
1457,Northrop,USA,37.09024,-95.712891,1996,Success
1458,Boeing,USA,37.09024,-95.712891,1996,Success
1459,NASA,USA,37.09024,-95.712891,1996,Success
1460,VKS RF,Russia,61.52401,105.318756,1996,Success
1461,Boeing,USA,37.09024,-95.712891,1996,Success
1462,CASC,China,35.86166,104.195397,1996,Failure
1463,Arianespace,France,46.227638,2.213749,1996,Success
1464,ILS,USA,37.09024,-95.712891,1996,Success
1465,VKS RF,Russia,61.52401,105.318756,1996,Success
1466,Boeing,USA,37.09024,-95.712891,1996,Success
1467,Arianespace,France,46.227638,2.213749,1996,Success
1468,NASA,USA,37.09024,-95.712891,1996,Success
1469,Boeing,USA,37.09024,-95.712891,1995,Success
1470,CASC,China,35.86166,104.195397,1995,Success
1471,VKS RF,Kazakhstan,48.019573,66.923684,1995,Success
1472,VKS RF,Kazakhstan,48.019573,66.923684,1995,Success
1473,Lockheed,USA,37.09024,-95.712891,1995,Success
1474,Arianespace,France,46.227638,2.213749,1995,Success
1475,Lockheed,USA,37.09024,-95.712891,1995,Success
1476,Lockheed,USA,37.09024,-95.712891,1995,Success
1477,CASC,China,35.86166,104.195397,1995,Success
1478,Arianespace,France,46.227638,2.213749,1995,Success
1479,NASA,USA,37.09024,-95.712891,1995,Success
1480,Lockheed,USA,37.09024,-95.712891,1995,Success
1481,Boeing,USA,37.09024,-95.712891,1995,Success
1482,VKS RF,Kazakhstan,48.019573,66.923684,1995,Success
1483,EER,USA,37.09024,-95.712891,1995,Failure
1484,Lockheed,USA,37.09024,-95.712891,1995,Success
1485,NASA,USA,37.09024,-95.712891,1995,Success
1486,Arianespace,France,46.227638,2.213749,1995,Success
1487,VKS RF,Russia,61.52401,105.318756,1995,Partial Failure
1488,Arianespace,France,46.227638,2.213749,1995,Success
1489,NASA,USA,37.09024,-95.712891,1995,Success
1490,Boeing,USA,37.09024,-95.712891,1995,Partial Failure
1491,VKS RF,Russia,61.52401,105.318756,1995,Success
1492,Arianespace,France,46.227638,2.213749,1995,Success
1493,ILS,USA,37.09024,-95.712891,1995,Success
1494,Lockheed,USA,37.09024,-95.712891,1995,Failure
1495,VKS RF,Russia,61.52401,105.318756,1995,Success
1496,Arianespace,France,46.227638,2.213749,1995,Success
1497,RVSN USSR,Russia,61.52401,105.318756,1995,Success
1498,Lockheed,USA,37.09024,-95.712891,1995,Success
1499,NASA,USA,37.09024,-95.712891,1995,Success
1500,Lockheed,USA,37.09024,-95.712891,1995,Success
1501,Arianespace,France,46.227638,2.213749,1995,Success
1502,VKS RF,Russia,61.52401,105.318756,1995,Success
1503,NASA,USA,37.09024,-95.712891,1995,Success
1504,Northrop,USA,37.09024,-95.712891,1995,Failure
1505,Arianespace,France,46.227638,2.213749,1995,Success
1506,VKS RF,Kazakhstan,48.019573,66.923684,1995,Success
1507,Lockheed,USA,37.09024,-95.712891,1995,Success
1508,VKS RF,Russia,61.52401,105.318756,1995,Success
1509,Lockheed,USA,37.09024,-95.712891,1995,Success
1510,Arianespace,France,46.227638,2.213749,1995,Success
1511,Lockheed,USA,37.09024,-95.712891,1995,Success
1512,Arianespace,France,46.227638,2.213749,1995,Success
1513,ILS,USA,37.09024,-95.712891,1995,Success
1514,IAI,Israel,31.046051,34.851612,1995,Success
1515,Northrop,USA,37.09024,-95.712891,1995,Success
1516,Arianespace,France,46.227638,2.213749,1995,Success
1517,MITT,Russia,61.52401,105.318756,1995,Failure
1518,General Dynamics,USA,37.09024,-95.712891,1995,Success
1519,ILS,USA,37.09024,-95.712891,1995,Success
1520,VKS RF,Russia,61.52401,105.318756,1995,Success
1521,MHI,Japan,36.204824,138.252924,1995,Success
1522,VKS RF,Russia,61.52401,105.318756,1995,Success
1523,NASA,USA,37.09024,-95.712891,1995,Success
1524,NASA,USA,37.09024,-95.712891,1995,Success
1525,Lockheed,USA,37.09024,-95.712891,1995,Success
1526,CASC,China,35.86166,104.195397,1995,Failure
1527,VKS RF,Russia,61.52401,105.318756,1995,Success
1528,ISAS,Japan,36.204824,138.252924,1995,Partial Failure
1529,ILS,USA,37.09024,-95.712891,1995,Success
1530,General Dynamics,USA,37.09024,-95.712891,1994,Success
1531,VKS RF,Kazakhstan,48.019573,66.923684,1994,Success
1532,VKS RF,Russia,61.52401,105.318756,1994,Success
1533,Martin Marietta,USA,37.09024,-95.712891,1994,Success
1534,VKS RF,Russia,61.52401,105.318756,1994,Success
1535,VKS RF,Russia,61.52401,105.318756,1994,Success
1536,Arianespace,France,46.227638,2.213749,1994,Failure
1537,CASC,China,35.86166,104.195397,1994,Partial Failure
1538,Lockheed,USA,37.09024,-95.712891,1994,Success
1539,VKS RF,Russia,61.52401,105.318756,1994,Success
1540,VKS RF,Kazakhstan,48.019573,66.923684,1994,Success
1541,VKS RF,Kazakhstan,48.019573,66.923684,1994,Success
1542,NASA,USA,37.09024,-95.712891,1994,Success
1543,VKS RF,Kazakhstan,48.019573,66.923684,1994,Success
1544,Boeing,USA,37.09024,-95.712891,1994,Success
1545,Arianespace,France,46.227638,2.213749,1994,Success
1546,ISRO,India,20.593684,78.96288,1994,Success
1547,VKS RF,Russia,61.52401,105.318756,1994,Success
1548,Arianespace,France,46.227638,2.213749,1994,Success
1549,Lockheed,USA,37.09024,-95.712891,1994,Success
1550,NASA,USA,37.09024,-95.712891,1994,Success
1551,VKS RF,Russia,61.52401,105.318756,1994,Success
1552,NASA,USA,37.09024,-95.712891,1994,Success
1553,Arianespace,France,46.227638,2.213749,1994,Success
1554,Northrop,USA,37.09024,-95.712891,1994,Success
1555,General Dynamics,USA,37.09024,-95.712891,1994,Success
1556,MHI,Japan,36.204824,138.252924,1994,Success
1557,CASC,China,35.86166,104.195397,1994,Success
1558,Martin Marietta,USA,37.09024,-95.712891,1994,Success
1559,VKS RF,Kazakhstan,48.019573,66.923684,1994,Success
1560,VKS RF,Russia,61.52401,105.318756,1994,Success
1561,Arianespace,France,46.227638,2.213749,1994,Success
1562,VKS RF,Russia,61.52401,105.318756,1994,Success
1563,Lockheed,USA,37.09024,-95.712891,1994,Success
1564,VKS RF,Russia,61.52401,105.318756,1994,Success
1565,CASC,China,35.86166,104.195397,1994,Success
1566,VKS RF,Russia,61.52401,105.318756,1994,Success
1567,Arianespace,France,46.227638,2.213749,1994,Success
1568,NASA,USA,37.09024,-95.712891,1994,Success
1569,CASC,China,35.86166,104.195397,1994,Success
1570,Northrop,USA,37.09024,-95.712891,1994,Failure
1571,Lockheed,USA,37.09024,-95.712891,1994,Success
1572,Arianespace,France,46.227638,2.213749,1994,Success
1573,VKS RF,Russia,61.52401,105.318756,1994,Failure
1574,Northrop,USA,37.09024,-95.712891,1994,Partial Failure
1575,ISRO,India,20.593684,78.96288,1994,Success
1576,Martin Marietta,USA,37.09024,-95.712891,1994,Success
1577,VKS RF,Russia,61.52401,105.318756,1994,Success
1578,VKS RF,Kazakhstan,48.019573,66.923684,1994,Success
1579,Lockheed,USA,37.09024,-95.712891,1994,Success
1580,NASA,USA,37.09024,-95.712891,1994,Success
1581,Boeing,USA,37.09024,-95.712891,1994,Success
1582,Northrop,USA,37.09024,-95.712891,1994,Success
1583,Boeing,USA,37.09024,-95.712891,1994,Success
1584,NASA,USA,37.09024,-95.712891,1994,Success
1585,VKS RF,Russia,61.52401,105.318756,1994,Success
1586,VKS RF,Russia,61.52401,105.318756,1994,Success
1587,CASC,China,35.86166,104.195397,1994,Success
1588,Martin Marietta,USA,37.09024,-95.712891,1994,Success
1589,MHI,Japan,36.204824,138.252924,1994,Success
1590,NASA,USA,37.09024,-95.712891,1994,Success
