ID,Organisation,Country,Latitude,Longitude,Year,Status Mission
117,VKS RF,Russia,61.52401,105.318756,2019,Success
118,CASC,China,35.86166,104.195397,2019,Success
119,SpaceX,USA,37.09024,-95.712891,2019,Success
120,i-Space,China,35.86166,104.195397,2019,Success
121,ISRO,India,20.593684,78.96288,2019,Success
122,Roscosmos,Kazakhstan,48.019573,66.923684,2019,Success
123,Roscosmos,Kazakhstan,48.019573,66.923684,2019,Success
124,Arianespace,France,46.227638,2.213749,2019,Failure
125,VKS RF,Russia,61.52401,105.318756,2019,Success
126,Roscosmos,Russia,61.52401,105.318756,2019,Success
127,Exos,New Mexico,,,2019,Partial Failure
128,Rocket Lab,New Zealand,-40.900557,174.885971,2019,Success
129,SpaceX,USA,37.09024,-95.712891,2019,Success
130,CASC,China,35.86166,104.195397,2019,Success
131,Arianespace,France,46.227638,2.213749,2019,Success
132,SpaceX,USA,37.09024,-95.712891,2019,Success
133,CASC,Yellow Sea,,,2019,Success
134,Roscosmos,Kazakhstan,48.019573,66.923684,2019,Success
135,Roscosmos,Russia,61.52401,105.318756,2019,Success
136,SpaceX,USA,37.09024,-95.712891,2019,Success
137,CASC,China,35.86166,104.195397,2019,Failure
138,ISRO,India,20.593684,78.96288,2019,Success
139,CASC,China,35.86166,104.195397,2019,Success
140,Rocket Lab,New Zealand,-40.900557,174.885971,2019,Success
141,SpaceX,USA,37.09024,-95.712891,2019,Success
142,Blue Origin,USA,37.09024,-95.712891,2019,Success
143,CASC,China,35.86166,104.195397,2019,Success
144,CASC,China,35.86166,104.195397,2019,Success
145,Northrop,USA,37.09024,-95.712891,2019,Success
146,SpaceX,USA,37.09024,-95.712891,2019,Success
147,Arianespace,France,46.227638,2.213749,2019,Success
148,Roscosmos,Kazakhstan,48.019573,66.923684,2019,Success
149,ISRO,India,20.593684,78.96288,2019,Success
150,CASC,China,35.86166,104.195397,2019,Success
151,Rocket Lab,New Zealand,-40.900557,174.885971,2019,Success
152,OneSpace,China,35.86166,104.195397,2019,Failure
153,Arianespace,France,46.227638,2.213749,2019,Success
154,ULA,USA,37.09024,-95.712891,2019,Success
155,Roscosmos,Kazakhstan,48.019573,66.923684,2019,Success
156,CASC,China,35.86166,104.195397,2019,Success
157,Exos,New Mexico,,,2019,Partial Failure
158,SpaceX,USA,37.09024,-95.712891,2019,Success
159,Arianespace,France,46.227638,2.213749,2019,Success
160,SpaceX,USA,37.09024,-95.712891,2019,Success
161,VKS RF,Kazakhstan,48.019573,66.923684,2019,Success
162,Arianespace,France,46.227638,2.213749,2019,Success
163,ISA,Iran,32.427908,53.688046,2019,Failure
164,ISRO,India,20.593684,78.96288,2019,Success
165,Blue Origin,USA,37.09024,-95.712891,2019,Success
166,CASC,China,35.86166,104.195397,2019,Success
167,ULA,USA,37.09024,-95.712891,2019,Success
168,JAXA,Japan,36.204824,138.252924,2019,Success
169,ISA,Iran,32.427908,53.688046,2019,Failure
170,SpaceX,USA,37.09024,-95.712891,2019,Success
171,CASC,China,35.86166,104.195397,2019,Success
172,CASC,China,35.86166,104.195397,2018,Success
173,Roscosmos,Russia,61.52401,105.318756,2018,Success
174,CASC,China,35.86166,104.195397,2018,Success
175,SpaceX,USA,37.09024,-95.712891,2018,Success
176,CASC,China,35.86166,104.195397,2018,Success
177,VKS RF,Kazakhstan,48.019573,66.923684,2018,Success
178,Arianespace,France,46.227638,2.213749,2018,Success
179,ISRO,India,20.593684,78.96288,2018,Success
180,Rocket Lab,New Zealand,-40.900557,174.885971,2018,Success
181,CASC,China,35.86166,104.195397,2018,Success
182,CASC,China,35.86166,104.195397,2018,Success
183,SpaceX,USA,37.09024,-95.712891,2018,Success
184,Arianespace,France,46.227638,2.213749,2018,Success
185,SpaceX,USA,37.09024,-95.712891,2018,Success
186,Roscosmos,Kazakhstan,48.019573,66.923684,2018,Success
187,VKS RF,Russia,61.52401,105.318756,2018,Success
188,ISRO,India,20.593684,78.96288,2018,Success
189,Arianespace,France,46.227638,2.213749,2018,Success
190,CASC,China,35.86166,104.195397,2018,Success
191,CASC,China,35.86166,104.195397,2018,Success
192,Northrop,USA,37.09024,-95.712891,2018,Success
193,Roscosmos,Kazakhstan,48.019573,66.923684,2018,Success
194,SpaceX,USA,37.09024,-95.712891,2018,Success
