ID,Organisation,Location,Detail,Rocket_Status,Price(USDbillion),Mission_Status,New_Date,Year,Months,Country,Latitude,Longitude
28,VKS RF,"Site 43/4, Plesetsk Cosmodrome, Russia",Soyuz 2.1b/Fregat-M | Cosmos 2546,StatusActive,,Success,5/22/2020,2020,May,Russia,61.52401,105.318756
29,MHI,"LA-Y2, Tanegashima Space Center, Japan",H-IIB | HTV-9,StatusRetired,$112.50 ,Success,5/20/2020,2020,May,Japan,36.204824,138.252924
30,ULA,"SLC-41, Cape Canaveral AFS, Florida, USA",Atlas V 501 | OTV-6 (USSF-7),StatusActive,$120.00 ,Success,5/17/2020,2020,May,USA,37.09024,-95.712891
31,ExPace,"Site 95, Jiuquan Satellite Launch Center, China",Kuaizhou 1A | Xingyun-2 01 (Wuhan) & 02,StatusActive,,Success,5/12/2020,2020,May,China,35.86166,104.195397
32,CASC,"LC-101, Wenchang Satellite Launch Center, China",Long March 5B | Test Flight (New Crew Capsule),StatusActive,,Success,5/5/2020,2020,May,China,35.86166,104.195397
33,Roscosmos,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",Soyuz 2.1a | Progress MS-14,StatusActive,$48.50 ,Success,4/25/2020,2020,April,Kazakhstan,48.019573,66.923684
34,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",Falcon 9 Block 5 | Starlink V1 L6,StatusActive,$50.00 ,Success,4/22/2020,2020,April,USA,37.09024,-95.712891
35,IRGC,"Launch Plateform, Shahrud Missile Test Site",Qased | Noor 1,StatusActive,,Success,4/22/2020,2020,April,Shahrud Missile Test Site,,
36,CASC,"LC-2, Xichang Satellite Launch Center, China",Long March 3B/E | Nusantara Dua,StatusActive,$29.15 ,Failure,4/9/2020,2020,April,China,35.86166,104.195397
37,Roscosmos,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",Soyuz 2.1a | Soyuz MS-16,StatusActive,$48.50 ,Success,4/9/2020,2020,April,Kazakhstan,48.019573,66.923684
38,ULA,"SLC-41, Cape Canaveral AFS, Florida, USA",Atlas V 551 | AEHF 6,StatusActive,$153.00 ,Success,3/26/2020,2020,March,USA,37.09024,-95.712891
39,CASC,"LC-3, Xichang Satellite Launch Center, China",Long March 2C | Yaogan-30-06,StatusActive,$30.80 ,Success,3/24/2020,2020,March,China,35.86166,104.195397
40,Arianespace,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",Soyuz 2.1b/Fregat | OneWeb #3,StatusActive,$48.50 ,Success,3/21/2020,2020,March,Kazakhstan,48.019573,66.923684
41,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",Falcon 9 Block 5 | Starlink V1 L5,StatusActive,$50.00 ,Success,3/18/2020,2020,March,USA,37.09024,-95.712891
42,VKS RF,"Site 43/4, Plesetsk Cosmodrome, Russia",Soyuz 2.1b/Fregat-M | Cosmos 2545,StatusActive,,Success,3/16/2020,2020,March,Russia,61.52401,105.318756
43,CASC,"LC-201, Wenchang Satellite Launch Center, China",Long March 7A | XJY-6,StatusActive,,Failure,3/16/2020,2020,March,China,35.86166,104.195397
44,CASC,"LC-2, Xichang Satellite Launch Center, China",Long March 3B/E | Beidou-3 G2,StatusActive,$29.15 ,Success,3/9/2020,2020,March,China,35.86166,104.195397
45,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",Falcon 9 Block 5 | CRS-20,StatusActive,$50.00 ,Success,3/7/2020,2020,March,USA,37.09024,-95.712891
46,VKS RF,"Site 43/3, Plesetsk Cosmodrome, Russia",Soyuz 2.1a/Fregat-M | Meridian-M n†­19L,StatusActive,$48.50 ,Success,2/20/2020,2020,February,Russia,61.52401,105.318756
47,CASC,"LC-3, Xichang Satellite Launch Center, China",Long March 2D | XJS-C to F,StatusActive,$29.75 ,Success,2/19/2020,2020,February,China,35.86166,104.195397
