ID,Organisation,Location,Detail,Rocket_Status,Price(USDbillion),Mission_Status,New_Date,Year,Months,Country,Latitude,Longitude
981,CASC,"LC-7, Taiyuan Satellite Launch Center, China",Long March 4B | Ziyuan ll-03,StatusActive,$64.68 ,Success,11/6/2004,2004,November,China,35.86166,104.195397
982,CASC,"LC-2, Xichang Satellite Launch Center, China",Long March 3A | Fengyun-2C,StatusActive,$69.70 ,Success,10/19/2004,2004,October,China,35.86166,104.195397
983,CASC,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China",Long March 2D | FSW-3 No.2,StatusActive,$29.75 ,Success,9/27/2004,2004,September,China,35.86166,104.195397
984,VKS RF,"Site 132/1, Plesetsk Cosmodrome, Russia",Cosmos-3M (11K65M) | Cosmos 2408 and 2409,StatusRetired,,Success,9/23/2004,2004,September,Russia,61.52401,105.318756
985,ISRO,"First Launch Pad, Satish Dhawan Space Centre, India",GSLV Mk I | GSAT-3,StatusRetired,$47.00 ,Success,9/20/2004,2004,September,India,20.593684,78.96288
986,CASC,"LC-7, Taiyuan Satellite Launch Center, China",Long March 4B | Shijian-6A & 6B,StatusActive,$64.68 ,Success,9/8/2004,2004,September,China,35.86166,104.195397
987,IAI,"Pad 1, Palmachim Airbase, Israel",Shavit-1 | Ofek-6,StatusRetired,,Failure,9/6/2004,2004,September,Israel,31.046051,34.851612
988,Lockheed,"SLC-36A, Cape Canaveral AFS, Florida, USA",Atlas IIAS | NROL-1,StatusRetired,,Success,8/31/2004,2004,August,USA,37.09024,-95.712891
989,CASC,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China",Long March 2C | FSW-4 No.1,StatusActive,$30.80 ,Success,8/29/2004,2004,August,China,35.86166,104.195397
990,Boeing,"SLC-17B, Cape Canaveral AFS, Florida, USA",Delta II 7925H | MESSENGER,StatusRetired,,Success,8/3/2004,2004,August,USA,37.09024,-95.712891
991,CASC,"LC-7, Taiyuan Satellite Launch Center, China",Long March 2C | Double Star 2,StatusActive,$30.80 ,Success,7/25/2004,2004,July,China,35.86166,104.195397
992,VKS RF,"Site 132/1, Plesetsk Cosmodrome, Russia",Cosmos-3M (11K65M) | Cosmos 2407,StatusRetired,,Success,7/22/2004,2004,July,Russia,61.52401,105.318756
993,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",Ariane 5 G+ | Anik F2,StatusRetired,$190.00 ,Success,7/18/2004,2004,July,France,46.227638,2.213749
994,Boeing,"SLC-2W, Vandenberg AFB, California, USA",Delta II 7920-10L | Aura,StatusRetired,,Success,7/15/2004,2004,July,USA,37.09024,-95.712891
995,Kosmotras,"Site 109/95, Baikonur Cosmodrome, Kazakhstan",Dnepr | DEMETER & Others,StatusRetired,$29.00 ,Success,6/29/2004,2004,June,Kazakhstan,48.019573,66.923684
996,Sea Launch,"LP Odyssey, Kiritimati Launch Area, Pacific Ocean",Zenit-3 SL | Telstar 18,StatusActive,,Success,6/29/2004,2004,June,Pacific Ocean,,
997,Boeing,"SLC-17B, Cape Canaveral AFS, Florida, USA",Delta II 7925 | GPS IIR-12,StatusRetired,,Success,6/23/2004,2004,June,USA,37.09024,-95.712891
998,VKS RF,"Site 45/1, Baikonur Cosmodrome, Kazakhstan",Zenit-2 | Cosmos 2406,StatusRetired,,Success,6/10/2004,2004,June,Kazakhstan,48.019573,66.923684
999,VKS RF,"Site 90/20, Baikonur Cosmodrome, Kazakhstan",Tsyklon-2 | Cosmos 2405,StatusRetired,,Success,5/28/2004,2004,May,Kazakhstan,48.019573,66.923684
1000,Northrop,"SLC-576E, Vandenberg AFB, California, USA",Minotaur C (Taurus) | ROCSAT-2,StatusActive,$45.00 ,Success,5/20/2004,2004,May,USA,37.09024,-95.712891
1001,Sea Launch,"LP Odyssey, Kiritimati Launch Area, Pacific Ocean",Zenit-3 SL | DirecTV-7S,StatusActive,,Success,5/4/2004,2004,May,Pacific Ocean,,
1002,Boeing,"SLC-2W, Vandenberg AFB, California, USA",Delta II 7920-10C | Gravity Probe B,StatusRetired,,Success,4/20/2004,2004,April,USA,37.09024,-95.712891
1003,ILS,"SLC-36B, Cape Canaveral AFS, Florida, USA",Atlas IIAS | AMC-11,StatusRetired,,Success,4/19/2004,2004,April,USA,37.09024,-95.712891
1004,CASC,"LC-3, Xichang Satellite Launch Center, China",Long March 2C | Shiyan-1 & Nano Satellite 1,StatusActive,$30.80 ,Success,4/18/2004,2004,April,China,35.86166,104.195397
1005,ILS,"SLC-36A, Cape Canaveral AFS, Florida, USA",Atlas IIAS | Superbird 6,StatusRetired,,Success,4/16/2004,2004,April,USA,37.09024,-95.712891
1006,Boeing,"SLC-17B, Cape Canaveral AFS, Florida, USA",Delta II 7925 | GPS IIR-11,StatusRetired,,Success,3/20/2004,2004,March,USA,37.09024,-95.712891
1007,ILS,"SLC-36B, Cape Canaveral AFS, Florida, USA",Atlas IIIA | MBSat,StatusRetired,,Success,3/13/2004,2004,March,USA,37.09024,-95.712891
1008,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",Ariane 5 G+ | Rosetta & Philae,StatusRetired,$190.00 ,Success,3/2/2004,2004,March,France,46.227638,2.213749
1009,VKS RF,"Site 16/2, Plesetsk Cosmodrome, Russia",Molniya-M /Block ML | Cosmos 2405 (Molniya-1T n†­174),StatusRetired,,Success,2/18/2004,2004,February,Russia,61.52401,105.318756
1010,Lockheed,"SLC-40, Cape Canaveral AFS, Florida, USA",Titan IV(402)B | DSP,StatusRetired,,Success,2/14/2004,2004,February,USA,37.09024,-95.712891
1011,ILS,"SLC-36A, Cape Canaveral AFS, Florida, USA",Atlas IIAS | AMC-10,StatusRetired,,Success,2/5/2004,2004,February,USA,37.09024,-95.712891
1012,Sea Launch,"LP Odyssey, Kiritimati Launch Area, Pacific Ocean",Zenit-3 SL | Telstar 14,StatusActive,,Success,1/11/2004,2004,January,Pacific Ocean,,
1013,CASC,"LC-3, Xichang Satellite Launch Center, China",Long March 2C | Double Star 1,StatusActive,$30.80 ,Success,12/29/2003,2003,December,China,35.86166,104.195397
1014,Boeing,"SLC-17A, Cape Canaveral AFS, Florida, USA",Delta II 7925 | GPS IIR-10,StatusRetired,,Success,12/21/2003,2003,December,USA,37.09024,-95.712891
1015,Lockheed,"SLC-36B, Cape Canaveral AFS, Florida, USA",Atlas IIIB | UHF F/O F11,StatusRetired,,Success,12/10/2003,2003,December,USA,37.09024,-95.712891
1016,VKS RF,"Site 175/59, Baikonur Cosmodrome, Kazakhstan",Strela | Gruzomaket,StatusRetired,,Success,12/5/2003,2003,December,Kazakhstan,48.019573,66.923684
1017,Lockheed,"SLC-3E, Vandenberg AFB, California, USA",Atlas IIAS | NROL-18 (Intruder 6A & 6B),StatusRetired,,Success,12/2/2003,2003,December,USA,37.09024,-95.712891
1018,MHI,"LA-Y1, Tanegashima Space Center, Japan","H-IIA 2024 | IGS-Optical (2), IGS-Radar (2)",StatusRetired,,Failure,11/29/2003,2003,November,Japan,36.204824,138.252924
1019,CASC,"LC-2, Xichang Satellite Launch Center, China",Long March 3A | Chinasat-20,StatusActive,$69.70 ,Success,11/14/2003,2003,November,China,35.86166,104.195397
1020,CASC,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China",Long March 2D | FSW-3 No.1,StatusActive,$29.75 ,Success,11/3/2003,2003,November,China,35.86166,104.195397
1021,Eurockot,"Site 133/3, Plesetsk Cosmodrome, Russia",Rokot/Briz KM | SERVIS-1,StatusRetired,$41.80 ,Success,10/30/2003,2003,October,Russia,61.52401,105.318756
1022,CASC,"LC-7, Taiyuan Satellite Launch Center, China",Long March 4B | CBERS-2 & Chuangxin 1(01),StatusActive,$64.68 ,Success,10/21/2003,2003,October,China,35.86166,104.195397
1023,Lockheed,"SLC-4W, Vandenberg AFB, California, USA",Titan II(23)G | USA-172,StatusRetired,$35.00 ,Success,10/18/2003,2003,October,USA,37.09024,-95.712891
1024,ISRO,"First Launch Pad, Satish Dhawan Space Centre, India",PSLV-G | RESOURCESAT-1 (IRS-P6),StatusRetired,$25.00 ,Success,10/17/2003,2003,October,India,20.593684,78.96288
1025,CASC,"Site 901 (SLS-1), Jiuquan Satellite Launch Center, China",Long March 2F | Shenzhou 5,StatusActive,,Success,10/15/2003,2003,October,China,35.86166,104.195397
1026,Sea Launch,"LP Odyssey, Kiritimati Launch Area, Pacific Ocean",Zenit-3 SL | Galaxy-13,StatusActive,,Success,10/1/2003,2003,October,Pacific Ocean,,
1027,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France","Ariane 5 G | Insat 3E, eBird-1, SMART-1",StatusRetired,,Success,9/27/2003,2003,September,France,46.227638,2.213749
1028,VKS RF,"Site 132/1, Plesetsk Cosmodrome, Russia",Cosmos-3M (11K65M) | STSAT 1 & Others,StatusRetired,,Success,9/27/2003,2003,September,Russia,61.52401,105.318756
1029,CASIC,"Taiyuan Satellite Launch Center, China",Kaituozhe 1 | PS 2,StatusRetired,,Failure,9/16/2003,2003,September,China,35.86166,104.195397
1030,Lockheed,"SLC-40, Cape Canaveral AFS, Florida, USA",Titan IV(401)B | NROL-19 (Mentor),StatusRetired,,Success,9/9/2003,2003,September,USA,37.09024,-95.712891
1031,Boeing,"SLC-37B, Cape Canaveral AFS, Florida, USA",Delta IV Medium | DSCS-3 B6,StatusRetired,$133.00 ,Success,8/29/2003,2003,August,USA,37.09024,-95.712891
1032,AEB,"VLS Pad, Alc?›ntara Launch Center, Maranh?œo, Brazil","VLS-1 | SATEC, UNOSAT",StatusActive,,Prelaunch Failure,8/25/2003,2003,August,Brazil,-14.235004,-51.92528
1033,Boeing,"SLC-17B, Cape Canaveral AFS, Florida, USA",Delta II 7920H | Spitzer Space Telescope,StatusRetired,,Success,8/25/2003,2003,August,USA,37.09024,-95.712891
1034,VKS RF,"Site 132/1, Plesetsk Cosmodrome, Russia",Cosmos-3M (11K65M) | Cosmos 2400 and 2401,StatusRetired,,Success,8/19/2003,2003,August,Russia,61.52401,105.318756
1035,Northrop,"Stargazer, Vandenberg AFB, California, USA",Pegasus XL | SCISAT-1,StatusActive,$40.00 ,Success,8/13/2003,2003,August,USA,37.09024,-95.712891
1036,Sea Launch,"LP Odyssey, Kiritimati Launch Area, Pacific Ocean",Zenit-3 SL | EchoStar 9,StatusActive,,Success,8/8/2003,2003,August,Pacific Ocean,,
1037,ILS,"SLC-41, Cape Canaveral AFS, Florida, USA",Atlas V 521 | Rainbow 1,StatusActive,$135.00 ,Success,7/17/2003,2003,July,USA,37.09024,-95.712891
1038,Boeing,"SLC-17B, Cape Canaveral AFS, Florida, USA",Delta II 7925H | Opportunity,StatusRetired,,Success,7/8/2003,2003,July,USA,37.09024,-95.712891
1039,Eurockot,"Site 133/3, Plesetsk Cosmodrome, Russia",Rokot/Briz KM | Monitor-E GVM & Others,StatusRetired,$41.80 ,Success,6/30/2003,2003,June,Russia,61.52401,105.318756
1040,Northrop,"Stargazer, Vandenberg AFB, California, USA",Pegasus XL | OrbView-3,StatusActive,$40.00 ,Success,6/26/2003,2003,June,USA,37.09024,-95.712891
1041,VKS RF,"Site 16/2, Plesetsk Cosmodrome, Russia",Molniya-M /Block ML | Molniya-3 n†­173,StatusRetired,,Success,6/19/2003,2003,June,Russia,61.52401,105.318756
1042,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",Ariane 5 G | Optus C1 & BSAT-2c,StatusRetired,,Success,6/11/2003,2003,June,France,46.227638,2.213749
1043,Boeing,"SLC-17A, Cape Canaveral AFS, Florida, USA",Delta II 7925 | Spirit,StatusRetired,,Success,6/10/2003,2003,June,USA,37.09024,-95.712891
1044,Sea Launch,"LP Odyssey, Kiritimati Launch Area, Pacific Ocean",Zenit-3 SL | Thuraya-2,StatusActive,,Success,6/10/2003,2003,June,Pacific Ocean,,
1045,VKS RF,"Site 132/1, Plesetsk Cosmodrome, Russia",Cosmos-3M (11K65M) | Cosmos 2398,StatusRetired,,Success,6/4/2003,2003,June,Russia,61.52401,105.318756
1046,Starsem,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",Soyuz FG/Fregat | Mars Express,StatusRetired,,Success,6/2/2003,2003,June,Kazakhstan,48.019573,66.923684
1047,CASC,"LC-2, Xichang Satellite Launch Center, China",Long March 3A | Beidou-1C,StatusActive,$69.70 ,Success,5/24/2003,2003,May,China,35.86166,104.195397
1048,ILS,"SLC-41, Cape Canaveral AFS, Florida, USA",Atlas V 401 | HellasSat-2,StatusActive,$109.00 ,Success,5/13/2003,2003,May,USA,37.09024,-95.712891
1049,ISAS,"Mu Pad, Uchinoura Space Center, Japan",Mu-V / M-25 | Hayabusa,StatusRetired,,Success,5/9/2003,2003,May,Japan,36.204824,138.252924
1050,ISRO,"First Launch Pad, Satish Dhawan Space Centre, India",GSLV Mk I | GSAT-2,StatusRetired,$47.00 ,Success,5/8/2003,2003,May,India,20.593684,78.96288
1051,Northrop,"Stargazer, Cape Canaveral AFS, Florida, USA",Pegasus XL | GALEX,StatusActive,$40.00 ,Success,4/28/2003,2003,April,USA,37.09024,-95.712891
1052,ILS,"SLC-36B, Cape Canaveral AFS, Florida, USA",Atlas IIIB | AsiaSat 4,StatusRetired,,Success,4/12/2003,2003,April,USA,37.09024,-95.712891
1053,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",Ariane 5 G | INSAT-3A & Galaxy 12,StatusRetired,,Success,4/9/2003,2003,April,France,46.227638,2.213749
1054,Lockheed,"SLC-40, Cape Canaveral AFS, Florida, USA",Titan IV(401)B | Milstar DFS-6,StatusRetired,,Success,4/8/2003,2003,April,USA,37.09024,-95.712891
1055,VKS RF,"Site 16/2, Plesetsk Cosmodrome, Russia",Molniya-M /Block ML | Molniya-1T n†­172,StatusRetired,,Success,4/2/2003,2003,April,Russia,61.52401,105.318756
1056,Boeing,"SLC-17A, Cape Canaveral AFS, Florida, USA",Delta II 7925 | GPS IIR-9,StatusRetired,,Success,3/31/2003,2003,March,USA,37.09024,-95.712891
1057,MHI,"LA-Y1, Tanegashima Space Center, Japan","H-IIA 2024 | IGS-Optical 1, IGS-Radar 1",StatusRetired,,Success,3/28/2003,2003,March,Japan,36.204824,138.252924
1058,Boeing,"SLC-37B, Cape Canaveral AFS, Florida, USA",Delta IV Medium | DSCS-3 A3,StatusRetired,$133.00 ,Success,3/11/2003,2003,March,USA,37.09024,-95.712891
1059,Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",Ariane 44L | Intelsat 907,StatusRetired,,Success,2/15/2003,2003,February,France,46.227638,2.213749
1060,Boeing,"SLC-17B, Cape Canaveral AFS, Florida, USA",Delta II 7925 | GPS IIR-8,StatusRetired,,Success,1/29/2003,2003,January,USA,37.09024,-95.712891
1061,Northrop,"Stargazer, Cape Canaveral AFS, Florida, USA",Pegasus XL | SORCE,StatusActive,$40.00 ,Success,1/25/2003,2003,January,USA,37.09024,-95.712891
1062,NASA,"LC-39A, Kennedy Space Center, Florida, USA",Space Shuttle Columbia | STS-107,StatusRetired,$450.00 ,Failure,1/16/2003,2003,January,USA,37.09024,-95.712891
1063,Boeing,"SLC-2W, Vandenberg AFB, California, USA",Delta II 7320-10C | ICESat / CHIPSat,StatusRetired,,Success,1/13/2003,2003,January,USA,37.09024,-95.712891
1064,Lockheed,"SLC-4W, Vandenberg AFB, California, USA",Titan II(23)G | Coriolis,StatusRetired,$35.00 ,Success,1/6/2003,2003,January,USA,37.09024,-95.712891
1065,CASC,"Site 901 (SLS-1), Jiuquan Satellite Launch Center, China",Long March 2F | Shenzhou 4,StatusActive,,Success,12/29/2002,2002,December,China,35.86166,104.195397
1066,VKS RF,"Site 16/2, Plesetsk Cosmodrome, Russia",Molniya-M /Block 2BL | Cosmos 2393,StatusRetired,,Success,12/24/2002,2002,December,Russia,61.52401,105.318756
1067,Kosmotras,"Site 109/95, Baikonur Cosmodrome, Kazakhstan",Dnepr | Rubin 2 & Others,StatusRetired,$29.00 ,Success,12/20/2002,2002,December,Kazakhstan,48.019573,66.923684
1068,Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",Ariane 44L | NSS-6,StatusRetired,,Success,12/17/2002,2002,December,France,46.227638,2.213749
1069,MHI,"LA-Y1, Tanegashima Space Center, Japan","H-IIA 202 | Midori 2, WEOS & Others",StatusActive,$90.00 ,Success,12/14/2002,2002,December,Japan,36.204824,138.252924
1070,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France","Ariane 5 ECA | Hot Bird 7, Stentor, MFD-A, MFD-B",StatusActive,$200.00 ,Failure,12/11/2002,2002,December,France,46.227638,2.213749
1071,Lockheed,"SLC-36A, Cape Canaveral AFS, Florida, USA",Atlas IIA | TDRS-J,StatusRetired,,Success,12/5/2002,2002,December,USA,37.09024,-95.712891
1072,VKS RF,"Site 132/1, Plesetsk Cosmodrome, Russia","Cosmos-3M (11K65M) | AlSat 1, Mozhayets 4 & Rubin 3-DSI",StatusRetired,,Success,11/28/2002,2002,November,Russia,61.52401,105.318756
1073,NASA,"LC-39A, Kennedy Space Center, Florida, USA",Space Shuttle Endeavour | STS-113,StatusRetired,$450.00 ,Success,11/24/2002,2002,November,USA,37.09024,-95.712891
1074,Boeing,"SLC-37B, Cape Canaveral AFS, Florida, USA","Delta IV Medium+ (4,2) | Eutelsat W5",StatusRetired,$164.00 ,Success,11/20/2002,2002,November,USA,37.09024,-95.712891
1075,CASC,"LC-7, Taiyuan Satellite Launch Center, China",Long March 4B | Ziyuan ll-02,StatusActive,$64.68 ,Success,10/27/2002,2002,October,China,35.86166,104.195397
1076,NASA,"LC-39B, Kennedy Space Center, Florida, USA",Space Shuttle Atlantis | STS-112,StatusRetired,$450.00 ,Success,10/7/2002,2002,October,USA,37.09024,-95.712891
1077,VKS RF,"Site 132/1, Plesetsk Cosmodrome, Russia",Cosmos-3M (11K65M) | Nadiezhda-M n†­1,StatusRetired,,Success,9/26/2002,2002,September,Russia,61.52401,105.318756
1078,ILS,"SLC-36A, Cape Canaveral AFS, Florida, USA",Atlas IIAS | Hispasat 1D,StatusRetired,,Success,9/18/2002,2002,September,USA,37.09024,-95.712891
1079,CASIC,"Taiyuan Satellite Launch Center, China",Kaituozhe 1 | PS 1,StatusRetired,,Failure,9/15/2002,2002,September,China,35.86166,104.195397
1080,ISRO,"First Launch Pad, Satish Dhawan Space Centre, India",PSLV-G | C4 - MetSat-1 (Kalpana-1),StatusRetired,$25.00 ,Success,9/12/2002,2002,September,India,20.593684,78.96288
1081,MHI,"LA-Y1, Tanegashima Space Center, Japan",H-IIA 2024 | USERS & Kodama,StatusRetired,,Success,9/10/2002,2002,September,Japan,36.204824,138.252924
1082,Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",Ariane 44L | Intelsat 906,StatusRetired,,Success,9/6/2002,2002,September,France,46.227638,2.213749
1083,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France","Ariane 5 G | Atlantic Bird 1, MSG-1, MFD",StatusRetired,,Success,8/28/2002,2002,August,France,46.227638,2.213749
1084,ILS,"SLC-41, Cape Canaveral AFS, Florida, USA",Atlas V 401 | Hot Bird 6,StatusActive,$109.00 ,Success,8/21/2002,2002,August,USA,37.09024,-95.712891
1085,VKS RF,"Site 132/1, Plesetsk Cosmodrome, Russia",Cosmos-3M (11K65M) | Cosmos 2390 and 2391,StatusRetired,,Success,7/8/2002,2002,July,Russia,61.52401,105.318756
1086,Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France","Ariane 42P | SPOT-5, IDEFIX",StatusRetired,,Success,7/5/2002,2002,July,France,46.227638,2.213749
1087,Boeing,"SLC-17A, Cape Canaveral AFS, Florida, USA",Delta II 7425 | CONTOUR,StatusRetired,,Success,7/3/2002,2002,July,USA,37.09024,-95.712891
1088,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",Ariane 5 G | Stellat-5 & NStar-C,StatusRetired,,Success,7/2/2002,2002,July,France,46.227638,2.213749
1089,Lockheed,"SLC-4W, Vandenberg AFB, California, USA",Titan II(23)G | NOAA-17,StatusRetired,$35.00 ,Success,6/24/2002,2002,June,USA,37.09024,-95.712891
1090,Eurockot,"Site 133/3, Plesetsk Cosmodrome, Russia",Rokot/Briz KM | Iridium SV97 and SV98,StatusRetired,$41.80 ,Success,6/20/2002,2002,June,Russia,61.52401,105.318756
1091,Sea Launch,"LP Odyssey, Kiritimati Launch Area, Pacific Ocean",Zenit-3 SL | Galaxy IIIC,StatusActive,,Success,6/15/2002,2002,June,Pacific Ocean,,
1092,NASA,"LC-39A, Kennedy Space Center, Florida, USA",Space Shuttle Endeavour | STS-111,StatusRetired,$450.00 ,Success,6/5/2002,2002,June,USA,37.09024,-95.712891
1093,Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",Ariane 44L | Intelsat 905,StatusRetired,,Success,6/5/2002,2002,June,France,46.227638,2.213749
1094,IAI,"Pad 1, Palmachim Airbase, Israel",Shavit-1 | Ofek-5,StatusRetired,,Success,5/28/2002,2002,May,Israel,31.046051,34.851612
1095,VKS RF,"Site 132/1, Plesetsk Cosmodrome, Russia",Cosmos-3M (11K65M) | Cosmos 2389,StatusRetired,,Success,5/28/2002,2002,May,Russia,61.52401,105.318756
1096,CASC,"LC-7, Taiyuan Satellite Launch Center, China",Long March 4B | Fengyun-1D & Haiyang-1A,StatusActive,$64.68 ,Success,5/15/2002,2002,May,China,35.86166,104.195397
1097,Boeing,"SLC-2W, Vandenberg AFB, California, USA",Delta II 7920-10C | Aqua,StatusRetired,,Success,5/4/2002,2002,May,USA,37.09024,-95.712891
1098,Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",Ariane 44L | NSS-7,StatusRetired,,Success,4/16/2002,2002,April,France,46.227638,2.213749
1099,NASA,"LC-39B, Kennedy Space Center, Florida, USA",Space Shuttle Atlantis | STS-110,StatusRetired,$450.00 ,Success,4/8/2002,2002,April,USA,37.09024,-95.712891
1100,VKS RF,"Site 16/2, Plesetsk Cosmodrome, Russia",Molniya-M /Block 2BL | Cosmos 2388,StatusRetired,,Success,4/1/2002,2002,April,Russia,61.52401,105.318756
1101,Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France","Ariane 44L | Astra 3A, JCSAT-8",StatusRetired,,Success,3/29/2002,2002,March,France,46.227638,2.213749
1102,CASC,"Site 901 (SLS-1), Jiuquan Satellite Launch Center, China",Long March 2F | Shenzhou 3,StatusActive,,Success,3/25/2002,2002,March,China,35.86166,104.195397
1103,Eurockot,"Site 133/3, Plesetsk Cosmodrome, Russia",Rokot/Briz KM | GRACE 1 & 2,StatusRetired,$41.80 ,Success,3/17/2002,2002,March,Russia,61.52401,105.318756
1104,Lockheed,"SLC-36A, Cape Canaveral AFS, Florida, USA",Atlas IIA | TDRS-I,StatusRetired,,Success,3/8/2002,2002,March,USA,37.09024,-95.712891
1105,NASA,"LC-39A, Kennedy Space Center, Florida, USA",Space Shuttle Columbia | STS-109,StatusRetired,$450.00 ,Success,3/1/2002,2002,March,USA,37.09024,-95.712891
1106,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",Ariane 5 G | Envisat,StatusRetired,,Success,3/1/2002,2002,March,France,46.227638,2.213749
1107,Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",Ariane 44L | Intelsat 904,StatusRetired,,Success,2/23/2002,2002,February,France,46.227638,2.213749
1108,ILS,"SLC-36B, Cape Canaveral AFS, Florida, USA",Atlas IIIB | EchoStar VII,StatusRetired,,Success,2/21/2002,2002,February,USA,37.09024,-95.712891
1109,Boeing,"SLC-2W, Vandenberg AFB, California, USA",Delta II 7920-10C | Iridium IS-1,StatusRetired,,Success,2/11/2002,2002,February,USA,37.09024,-95.712891
1110,Northrop,"Stargazer, Cape Canaveral AFS, Florida, USA",Pegasus XL | RHESSI,StatusActive,$40.00 ,Success,2/5/2002,2002,February,USA,37.09024,-95.712891
1111,MHI,"LA-Y1, Tanegashima Space Center, Japan","H-IIA 2024 | VEP 3, Tsubasa & DASH",StatusRetired,,Success,2/4/2002,2002,February,Japan,36.204824,138.252924
1112,Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",Ariane 42L | Insat 3C,StatusRetired,,Success,1/23/2002,2002,January,France,46.227638,2.213749
1113,Lockheed,"SLC-40, Cape Canaveral AFS, Florida, USA",Titan IV(401)B | Milstar DFS-5,StatusRetired,,Success,1/16/2002,2002,January,USA,37.09024,-95.712891
1114,VKS RF,"Site 32/1, Plesetsk Cosmodrome, Russia",Tsyklon-3 | Cosmos 2384 to 2386 & Gonets 10 to 12,StatusRetired,,Success,12/28/2001,2001,December,Russia,61.52401,105.318756
1115,VKS RF,"Site 90/20, Baikonur Cosmodrome, Kazakhstan",Tsyklon-2 | Cosmos 2383,StatusRetired,,Success,12/21/2001,2001,December,Kazakhstan,48.019573,66.923684
1116,VKS RF,"Site 45/1, Baikonur Cosmodrome, Kazakhstan",Zenit-2 | Meteor 3M n†­1 & Others,StatusRetired,,Success,12/10/2001,2001,December,Kazakhstan,48.019573,66.923684
1117,Boeing,"SLC-2W, Vandenberg AFB, California, USA",Delta II 7920-10C | Jason-1 / TIMED,StatusRetired,,Success,12/7/2001,2001,December,USA,37.09024,-95.712891
1118,NASA,"LC-39B, Kennedy Space Center, Florida, USA",Space Shuttle Endeavour | STS-108,StatusRetired,$450.00 ,Success,12/5/2001,2001,December,USA,37.09024,-95.712891
1119,Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",Ariane 44LP | DirecTV-4S,StatusRetired,,Success,11/27/2001,2001,November,France,46.227638,2.213749
1120,VKS RF,"Site 43/3, Plesetsk Cosmodrome, Russia",Molniya-M /Block ML | Molniya-3 n†­171,StatusRetired,,Success,10/25/2001,2001,October,Russia,61.52401,105.318756
1121,ISRO,"First Launch Pad, Satish Dhawan Space Centre, India","PSLV-G | TES, BIRD & PROBA",StatusRetired,$25.00 ,Success,10/22/2001,2001,October,India,20.593684,78.96288
1122,Boeing,"SLC-2W, Vandenberg AFB, California, USA",Delta II 7320-10C | QuickBird,StatusRetired,,Success,10/18/2001,2001,October,USA,37.09024,-95.712891
1123,Lockheed,"SLC-36B, Cape Canaveral AFS, Florida, USA",Atlas IIAS | NROL-12,StatusRetired,,Success,10/11/2001,2001,October,USA,37.09024,-95.712891
1124,Lockheed,"SLC-4E, Vandenberg AFB, California, USA",Titan IV(404)B | NROL-14 (KH-11 Kennen),StatusRetired,,Success,10/5/2001,2001,October,USA,37.09024,-95.712891
1125,Lockheed,"LP-1, Pacific Spaceport Complex, Alaska, USA",Athena I | Starshine 3 & Others,StatusRetired,,Success,9/30/2001,2001,September,USA,37.09024,-95.712891
1126,Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",Ariane 44P | Atlantic Bird 2,StatusRetired,,Success,9/25/2001,2001,September,France,46.227638,2.213749
1127,Northrop,"SLC-576E, Vandenberg AFB, California, USA",Minotaur C (Taurus) | Orbview-4/QuikTOMS,StatusActive,$45.00 ,Failure,9/21/2001,2001,September,USA,37.09024,-95.712891
1128,Lockheed,"SLC-3E, Vandenberg AFB, California, USA",Atlas IIAS | NROL-13 (Intruder FA & 5B),StatusRetired,,Success,9/9/2001,2001,September,USA,37.09024,-95.712891
1129,Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",Ariane 44L | Intelsat 902,StatusRetired,,Success,8/30/2001,2001,August,France,46.227638,2.213749
1130,MHI,"LA-Y1, Tanegashima Space Center, Japan",H-IIA 202 | VEP 2 & LRE,StatusActive,$90.00 ,Success,8/29/2001,2001,August,Japan,36.204824,138.252924
1131,NASA,"LC-39A, Kennedy Space Center, Florida, USA",Space Shuttle Discovery | STS-105,StatusRetired,$450.00 ,Success,8/10/2001,2001,August,USA,37.09024,-95.712891
